Accelerometer X	Accelerometer Y	Accelerometer Z	Gyroscope X	Gyroscope Y	Gyroscope Z	Roll	Pitch	Yaw	Time Stamp	    UTC Time	UTC Date
(m.s^-2)	(m.s^-2)	(m.s^-2)	(°.s^-1)	(°.s^-1)	(°.s^-1)	(°)	(°)	(°)	(s)	(HH:MM:SS.SS	(YYYY-MM-DD)
-1.031	0.215	-9.721	0.051228	0.673044	0.207146	-0.734793	-6.867329	-104.827175	135.140	21:46:45.000	2024-02-12
-1.040	0.209	-9.708	0.071203	0.763227	0.226073	-0.734824	-6.866895	-104.827401	135.154	21:46:45.014	2024-02-12
-1.049	0.203	-9.695	0.091178	0.853411	0.245000	-0.734855	-6.866460	-104.827647	135.168	21:46:45.028	2024-02-12
-1.058	0.197	-9.681	0.111153	0.943594	0.263927	-0.734886	-6.866027	-104.827872	135.182	21:46:45.042	2024-02-12
-1.067	0.191	-9.668	0.131129	1.033777	0.282854	-0.734917	-6.865593	-104.828118	135.196	21:46:45.056	2024-02-12
-0.868	0.094	-9.712	0.068680	-0.020731	0.011799	-0.734265	-6.871755	-104.828924	135.210	21:46:45.070	2024-02-12
-1.294	0.023	-9.756	-0.221806	-0.956461	-0.246499	-0.734403	-6.875892	-104.829354	135.224	21:46:45.084	2024-02-12
-1.324	0.226	-9.729	-0.218618	0.652059	0.045189	-0.737192	-6.868370	-104.828275	135.238	21:46:45.098	2024-02-12
-0.938	0.255	-9.720	0.113451	0.579086	0.190590	-0.734943	-6.869940	-104.828391	135.252	21:46:45.112	2024-02-12
-1.126	-0.026	-9.688	-0.002470	-0.855806	-0.252328	-0.734436	-6.873593	-104.829375	135.266	21:46:45.126	2024-02-12
-1.337	0.042	-9.642	-0.266955	-0.073935	-0.165969	-0.737373	-6.877999	-104.831239	135.280	21:46:45.140	2024-02-12
-1.090	0.210	-9.820	-0.190354	0.152767	0.078824	-0.739317	-6.880292	-104.830727	135.294	21:46:45.154	2024-02-12
-1.181	0.119	-9.724	-0.262030	-0.708359	-0.251070	-0.740932	-6.883023	-104.832271	135.308	21:46:45.168	2024-02-12
-1.267	0.220	-9.582	-0.055615	0.199549	-0.086001	-0.741976	-6.885211	-104.834770	135.322	21:46:45.182	2024-02-12
-1.136	0.185	-9.797	0.274745	0.352607	0.078710	-0.741072	-6.882175	-104.833801	135.336	21:46:45.196	2024-02-12
-1.278	-0.026	-9.872	0.025851	-0.327871	-0.057141	-0.740169	-6.879137	-104.832851	135.350	21:46:45.210	2024-02-12
-1.178	0.145	-9.608	-0.166604	0.554460	0.122313	-0.738689	-6.875751	-104.831506	135.364	21:46:45.224	2024-02-12
-0.924	0.227	-9.706	0.170414	0.360815	0.138662	-0.735770	-6.871496	-104.829197	135.378	21:46:45.238	2024-02-12
-1.203	-0.010	-9.797	0.084907	-0.839172	-0.249290	-0.737096	-6.877969	-104.830495	135.392	21:46:45.252	2024-02-12
-1.318	0.069	-9.666	-0.259517	0.166604	0.015626	-0.738662	-6.879866	-104.830638	135.406	21:46:45.266	2024-02-12
-0.994	0.251	-9.766	-0.114609	0.448323	0.202175	-0.739603	-6.873276	-104.828452	135.420	21:46:45.280	2024-02-12
-1.153	0.090	-9.769	-0.034714	-0.611902	-0.223150	-0.740637	-6.880920	-104.831226	135.434	21:46:45.294	2024-02-12
-1.274	0.121	-9.626	-0.114368	0.262914	-0.127953	-0.740662	-6.884064	-104.832264	135.448	21:46:45.308	2024-02-12
-1.239	0.157	-9.632	-0.061070	0.436006	-0.075719	-0.739933	-6.883832	-104.831997	135.462	21:46:45.322	2024-02-12
-1.197	0.166	-9.647	-0.034402	0.393733	-0.052442	-0.739203	-6.883600	-104.831745	135.476	21:46:45.336	2024-02-12
-1.156	0.175	-9.663	-0.007734	0.351459	-0.029165	-0.738474	-6.883367	-104.831478	135.490	21:46:45.350	2024-02-12
-1.114	0.184	-9.678	0.018934	0.309186	-0.005888	-0.737744	-6.883135	-104.831219	135.504	21:46:45.364	2024-02-12
-1.072	0.193	-9.694	0.045602	0.266912	0.017390	-0.737014	-6.882903	-104.830959	135.518	21:46:45.378	2024-02-12
-1.031	0.202	-9.710	0.072270	0.224639	0.040667	-0.736285	-6.882671	-104.830686	135.532	21:46:45.392	2024-02-12
-0.989	0.211	-9.725	0.098938	0.182365	0.063944	-0.735555	-6.882438	-104.830433	135.546	21:46:45.406	2024-02-12
-1.145	0.038	-9.751	0.069105	-0.715331	-0.230948	-0.734826	-6.882206	-104.830174	135.560	21:46:45.420	2024-02-12
-1.317	0.075	-9.671	-0.159583	-0.045063	-0.069120	-0.736136	-6.878396	-104.829477	135.574	21:46:45.434	2024-02-12
-1.076	0.225	-9.776	0.010553	0.481748	0.158526	-0.735905	-6.879086	-104.829272	135.588	21:46:45.448	2024-02-12
-1.119	0.106	-9.746	0.052010	-0.582973	-0.165913	-0.734919	-6.881990	-104.829846	135.602	21:46:45.462	2024-02-12
-1.294	0.101	-9.663	-0.088218	0.121251	-0.101228	-0.736316	-6.877934	-104.832817	135.616	21:46:45.476	2024-02-12
-1.048	0.211	-9.799	0.064141	0.764567	0.220634	-0.735455	-6.877156	-104.833329	135.630	21:46:45.490	2024-02-12
-1.122	0.075	-9.747	0.014827	-0.422606	-0.145393	-0.734656	-6.877289	-104.833404	135.644	21:46:45.504	2024-02-12
-1.315	0.113	-9.620	-0.168321	0.077074	-0.124822	-0.736267	-6.876424	-104.834887	135.658	21:46:45.518	2024-02-12
-1.082	0.229	-9.717	0.141457	0.663637	0.103879	-0.733992	-6.874671	-104.834292	135.672	21:46:45.532	2024-02-12
-1.096	0.119	-9.747	0.045975	-0.048359	-0.044582	-0.733627	-6.874670	-104.834224	135.686	21:46:45.546	2024-02-12
-1.318	0.054	-9.607	-0.326335	-0.002336	-0.076863	-0.736676	-6.877201	-104.835330	135.700	21:46:45.560	2024-02-12
-1.034	0.238	-9.703	0.009649	0.556142	0.097542	-0.735310	-6.874194	-104.834135	135.714	21:46:45.574	2024-02-12
-1.121	0.064	-9.796	0.149749	-0.724378	-0.227395	-0.735778	-6.877030	-104.834887	135.728	21:46:45.588	2024-02-12
-1.371	-0.006	-9.692	-0.326921	-0.210454	-0.117359	-0.737410	-6.882080	-104.836396	135.742	21:46:45.602	2024-02-12
-1.047	0.233	-9.696	-0.103861	0.679875	0.186085	-0.737776	-6.874135	-104.833650	135.756	21:46:45.616	2024-02-12
-1.049	0.171	-9.812	0.281332	-0.785723	-0.196564	-0.737470	-6.878534	-104.834545	135.770	21:46:45.630	2024-02-12
-1.351	0.040	-9.705	-0.090506	-0.151561	-0.123543	-0.737019	-6.885125	-104.836054	135.784	21:46:45.644	2024-02-12
-1.315	0.129	-9.651	-0.023626	0.532059	-0.018617	-0.736874	-6.884855	-104.835488	135.798	21:46:45.658	2024-02-12
-1.280	0.128	-9.664	-0.003236	0.346567	-0.045786	-0.736730	-6.884583	-104.834927	135.812	21:46:45.672	2024-02-12
-1.245	0.128	-9.676	0.017154	0.161076	-0.072955	-0.736586	-6.884312	-104.834361	135.826	21:46:45.686	2024-02-12
-1.210	0.127	-9.689	0.037544	-0.024415	-0.100124	-0.736442	-6.884041	-104.833801	135.840	21:46:45.700	2024-02-12
-1.176	0.127	-9.701	0.057934	-0.209906	-0.127292	-0.736297	-6.883769	-104.833234	135.854	21:46:45.714	2024-02-12
-1.141	0.126	-9.714	0.078324	-0.395398	-0.154461	-0.736153	-6.883498	-104.832667	135.868	21:46:45.728	2024-02-12
-1.106	0.126	-9.726	0.098714	-0.580889	-0.181630	-0.736009	-6.883227	-104.832107	135.882	21:46:45.742	2024-02-12
-1.071	0.125	-9.739	0.119104	-0.766380	-0.208799	-0.735865	-6.882956	-104.831540	135.896	21:46:45.756	2024-02-12
-1.353	-0.013	-9.646	-0.238363	-0.721771	-0.185238	-0.736653	-6.880145	-104.831820	135.910	21:46:45.770	2024-02-12
-1.241	0.182	-9.753	-0.040545	0.645551	0.082574	-0.737037	-6.877497	-104.832100	135.924	21:46:45.784	2024-02-12
-1.007	0.172	-9.765	0.104945	-0.069361	-0.002097	-0.735474	-6.877796	-104.831519	135.938	21:46:45.798	2024-02-12
-1.243	0.020	-9.683	-0.119317	-0.444456	-0.189267	-0.735986	-6.877208	-104.832325	135.952	21:46:45.812	2024-02-12
-1.178	0.160	-9.721	0.007110	0.555672	0.057381	-0.735997	-6.876664	-104.832434	135.966	21:46:45.826	2024-02-12
-1.034	0.132	-9.847	0.071011	-0.222049	-0.007014	-0.734878	-6.876372	-104.831342	135.980	21:46:45.840	2024-02-12
-1.248	0.067	-9.667	-0.226495	-0.334978	-0.183348	-0.737740	-6.877178	-104.832209	135.994	21:46:45.854	2024-02-12
-1.126	0.229	-9.660	0.070410	0.577663	0.114236	-0.736758	-6.877169	-104.832960	136.008	21:46:45.868	2024-02-12
-1.010	0.150	-9.783	0.189209	-0.186306	-0.023916	-0.733515	-6.876377	-104.833548	136.022	21:46:45.882	2024-02-12
-0.952	0.190	-9.749	0.172039	0.017977	0.014678	-0.734018	-6.874574	-104.833507	136.036	21:46:45.896	2024-02-12
-0.894	0.231	-9.716	0.154869	0.222261	0.053271	-0.734522	-6.872772	-104.833473	136.050	21:46:45.910	2024-02-12
-0.939	0.180	-9.731	0.168337	-0.171573	-0.044389	-0.735038	-6.874312	-104.834258	136.064	21:46:45.924	2024-02-12
-1.301	-0.031	-9.672	-0.152009	-0.735661	-0.252026	-0.735589	-6.884216	-104.837065	136.078	21:46:45.938	2024-02-12
-1.271	0.171	-9.706	-0.096233	0.543624	0.081154	-0.735998	-6.879078	-104.835440	136.092	21:46:45.952	2024-02-12
-1.055	0.187	-9.800	0.044047	-0.018579	0.045120	-0.736174	-6.876884	-104.834005	136.106	21:46:45.966	2024-02-12
-1.279	0.035	-9.664	-0.148103	-0.518508	-0.205043	-0.736066	-6.881956	-104.833835	136.120	21:46:45.980	2024-02-12
-1.186	0.147	-9.707	0.021040	0.652327	0.078335	-0.735199	-6.872318	-104.831943	136.134	21:46:45.994	2024-02-12
-0.964	0.114	-9.746	0.030845	-0.164299	0.015468	-0.735704	-6.874830	-104.832400	136.148	21:46:46.008	2024-02-12
-1.258	0.008	-9.722	-0.252537	-0.944419	-0.282484	-0.736970	-6.884589	-104.834313	136.162	21:46:46.022	2024-02-12
-1.274	0.008	-9.715	-0.252763	-0.855574	-0.257785	-0.736649	-6.883166	-104.834326	136.176	21:46:46.036	2024-02-12
-1.290	0.008	-9.709	-0.252988	-0.766728	-0.233086	-0.736326	-6.881743	-104.834361	136.190	21:46:46.050	2024-02-12
-1.306	0.008	-9.702	-0.253214	-0.677883	-0.208387	-0.736003	-6.880320	-104.834388	136.204	21:46:46.064	2024-02-12
-1.322	0.007	-9.696	-0.253440	-0.589038	-0.183688	-0.735681	-6.878897	-104.834408	136.218	21:46:46.078	2024-02-12
-1.338	0.007	-9.689	-0.253666	-0.500193	-0.158989	-0.735358	-6.877475	-104.834436	136.232	21:46:46.092	2024-02-12
-1.354	0.007	-9.683	-0.253892	-0.411348	-0.134290	-0.735036	-6.876051	-104.834456	136.246	21:46:46.106	2024-02-12
-1.248	0.183	-9.681	-0.077388	0.656926	0.087607	-0.734713	-6.874629	-104.834484	136.260	21:46:46.120	2024-02-12
-1.020	0.167	-9.779	0.087035	0.090298	0.001467	-0.732806	-6.878227	-104.835727	136.274	21:46:46.134	2024-02-12
-1.261	0.001	-9.703	-0.175510	-0.597737	-0.216440	-0.732987	-6.878433	-104.836464	136.288	21:46:46.148	2024-02-12
