Accelerometer X	Accelerometer Y	Accelerometer Z	Gyroscope X	Gyroscope Y	Gyroscope Z	Roll	Pitch	Yaw	Time Stamp	    UTC Time	UTC Date
(m.s^-2)	(m.s^-2)	(m.s^-2)	(°.s^-1)	(°.s^-1)	(°.s^-1)	(°)	(°)	(°)	(s)	(HH:MM:SS.SS	(YYYY-MM-DD)
0.380	1.018	-9.740	-0.067208	0.109068	0.038432	-5.762018	1.772864	31.985960	4224.115	01:10:21.710	2024-01-18
0.383	1.032	-9.737	-0.030723	0.109748	-0.031505	-5.761397	1.774118	31.986811	4224.129	01:10:21.724	2024-01-18
0.387	1.018	-9.738	-0.074081	0.061433	-0.000801	-5.761482	1.773759	31.987053	4224.143	01:10:21.738	2024-01-18
0.376	1.007	-9.735	-0.088543	0.081039	-0.057257	-5.761729	1.774040	31.986975	4224.157	01:10:21.752	2024-01-18
0.376	0.995	-9.730	-0.031687	0.109762	-0.069472	-5.761994	1.773980	31.986712	4224.171	01:10:21.766	2024-01-18
0.373	1.010	-9.744	-0.117202	0.073255	-0.065536	-5.762244	1.773322	31.986264	4224.185	01:10:21.780	2024-01-18
0.378	1.011	-9.741	-0.090125	0.114744	-0.060661	-5.762403	1.772921	31.985691	4224.199	01:10:21.794	2024-01-18
0.382	1.012	-9.738	-0.063049	0.156233	-0.055786	-5.762560	1.772520	31.985113	4224.213	01:10:21.808	2024-01-18
0.385	1.011	-9.735	-0.041768	0.173859	-0.037113	-5.762614	1.772289	31.984642	4224.227	01:10:21.822	2024-01-18
0.376	1.011	-9.734	0.002391	0.149217	-0.022004	-5.762040	1.773075	31.984714	4224.241	01:10:21.836	2024-01-18
0.364	1.020	-9.719	0.003345	0.225262	-0.056154	-5.760420	1.774877	31.984601	4224.255	01:10:21.850	2024-01-18
0.362	1.019	-9.718	0.124033	0.295457	-0.041412	-5.758321	1.777259	31.984413	4224.269	01:10:21.864	2024-01-18
0.379	1.005	-9.743	0.118933	0.310203	-0.040717	-5.756062	1.780078	31.984147	4224.283	01:10:21.878	2024-01-18
0.389	0.999	-9.747	0.090365	0.246279	-0.018986	-5.754546	1.781510	31.984219	4224.297	01:10:21.892	2024-01-18
0.404	0.996	-9.756	-0.066440	0.102138	-0.002053	-5.753806	1.781970	31.985072	4224.311	01:10:21.906	2024-01-18
0.398	1.031	-9.735	-0.095376	-0.021367	-0.060067	-5.753933	1.781441	31.986882	4224.325	01:10:21.920	2024-01-18
0.383	1.033	-9.727	-0.032292	0.049244	-0.024849	-5.753776	1.781664	31.986766	4224.339	01:10:21.934	2024-01-18
0.387	1.030	-9.728	-0.047543	0.038529	-0.027374	-5.753622	1.781888	31.986650	4224.353	01:10:21.948	2024-01-18
0.390	1.027	-9.729	-0.062794	0.027814	-0.029898	-5.753465	1.782111	31.986527	4224.367	01:10:21.962	2024-01-18
0.394	1.023	-9.730	-0.078044	0.017099	-0.032422	-5.753310	1.782334	31.986408	4224.381	01:10:21.976	2024-01-18
0.398	1.020	-9.731	-0.093295	0.006384	-0.034947	-5.753154	1.782557	31.986288	4224.395	01:10:21.990	2024-01-18
0.402	1.017	-9.732	-0.108546	-0.004331	-0.037471	-5.753000	1.782780	31.986175	4224.409	01:10:22.004	2024-01-18
0.385	1.028	-9.737	-0.155356	-0.098755	-0.078411	-5.752843	1.783003	31.986053	4224.423	01:10:22.018	2024-01-18
0.359	1.026	-9.733	-0.185216	-0.104435	-0.077879	-5.754895	1.780861	31.986080	4224.437	01:10:22.032	2024-01-18
0.367	1.055	-9.733	-0.179590	-0.037595	-0.051559	-5.756482	1.778893	31.986281	4224.451	01:10:22.046	2024-01-18
0.368	1.036	-9.735	-0.077837	0.055025	-0.017215	-5.756961	1.777680	31.986698	4224.465	01:10:22.060	2024-01-18
0.388	1.012	-9.721	-0.004771	0.132897	-0.018514	-5.756245	1.778715	31.986636	4224.479	01:10:22.074	2024-01-18
0.404	0.969	-9.753	0.003839	0.159528	-0.065560	-5.755694	1.779122	31.986650	4224.493	01:10:22.088	2024-01-18
0.362	0.970	-9.742	-0.024558	0.089091	-0.031090	-5.755162	1.779327	31.986766	4224.507	01:10:22.102	2024-01-18
0.365	0.986	-9.740	-0.109242	0.066431	-0.042581	-5.754014	1.781157	31.987084	4224.521	01:10:22.116	2024-01-18
0.363	1.002	-9.748	-0.096898	0.013904	-0.069358	-5.753735	1.781238	31.987688	4224.535	01:10:22.130	2024-01-18
0.383	1.014	-9.734	-0.056191	0.080379	0.013392	-5.753729	1.780834	31.988337	4224.549	01:10:22.144	2024-01-18
0.375	1.012	-9.731	-0.038062	0.089774	0.019006	-5.753529	1.780968	31.988843	4224.563	01:10:22.158	2024-01-18
0.369	1.004	-9.732	-0.023544	0.101199	0.018165	-5.753329	1.781103	31.989358	4224.577	01:10:22.172	2024-01-18
0.386	1.000	-9.741	-0.056889	0.118779	-0.010640	-5.753526	1.781159	31.989850	4224.591	01:10:22.186	2024-01-18
0.383	1.043	-9.732	-0.113892	0.086065	0.032650	-5.754250	1.781112	31.990311	4224.605	01:10:22.200	2024-01-18
0.385	1.017	-9.724	-0.030170	0.076823	-0.045957	-5.754191	1.780774	31.990868	4224.619	01:10:22.214	2024-01-18
0.369	1.002	-9.735	-0.057573	0.080633	-0.039366	-5.754177	1.780316	31.991353	4224.633	01:10:22.228	2024-01-18
0.357	1.015	-9.728	-0.052860	0.050625	0.003399	-5.754180	1.779817	31.991790	4224.647	01:10:22.242	2024-01-18
0.364	1.022	-9.737	-0.029020	0.087014	-0.010198	-5.754084	1.779613	31.992265	4224.661	01:10:22.256	2024-01-18
0.382	1.021	-9.732	-0.050055	0.083022	-0.042603	-5.754063	1.779368	31.992476	4224.675	01:10:22.270	2024-01-18
0.391	1.013	-9.723	-0.047317	0.085869	-0.023618	-5.754166	1.779027	31.992487	4224.689	01:10:22.284	2024-01-18
0.388	1.014	-9.725	-0.045373	0.080160	-0.021823	-5.754506	1.778485	31.992271	4224.703	01:10:22.298	2024-01-18
0.385	1.014	-9.727	-0.043428	0.074450	-0.020027	-5.754844	1.777943	31.992043	4224.717	01:10:22.312	2024-01-18
0.383	1.015	-9.728	-0.041484	0.068740	-0.018231	-5.755183	1.777400	31.991817	4224.731	01:10:22.326	2024-01-18
0.380	1.015	-9.730	-0.039540	0.063031	-0.016436	-5.755522	1.776858	31.991595	4224.745	01:10:22.340	2024-01-18
0.377	1.015	-9.732	-0.037596	0.057321	-0.014640	-5.755862	1.776315	31.991377	4224.759	01:10:22.354	2024-01-18
0.371	0.998	-9.730	-0.013561	0.124877	-0.023505	-5.755471	1.776398	31.991329	4224.773	01:10:22.368	2024-01-18
0.372	0.987	-9.735	0.013495	0.141803	-0.008224	-5.754653	1.776919	31.991455	4224.787	01:10:22.382	2024-01-18
0.366	0.997	-9.725	-0.035874	0.117814	-0.032185	-5.754556	1.777257	31.991848	4224.801	01:10:22.396	2024-01-18
0.383	1.006	-9.747	-0.078408	0.102798	-0.019301	-5.753348	1.778999	31.991175	4224.815	01:10:22.410	2024-01-18
0.381	1.003	-9.737	-0.104162	0.091943	-0.043723	-5.752412	1.780524	31.990533	4224.829	01:10:22.424	2024-01-18
0.358	0.999	-9.735	-0.086747	0.060838	-0.006481	-5.753266	1.780108	31.991021	4224.843	01:10:22.438	2024-01-18
0.364	1.012	-9.740	-0.037440	0.045197	-0.056076	-5.752867	1.779485	31.990724	4224.857	01:10:22.452	2024-01-18
0.377	1.021	-9.723	-0.034013	0.143863	-0.022436	-5.752597	1.779057	31.990431	4224.871	01:10:22.466	2024-01-18
0.383	1.021	-9.734	-0.052578	0.131048	-0.060565	-5.752779	1.778935	31.990318	4224.885	01:10:22.480	2024-01-18
0.378	1.017	-9.735	-0.059498	0.118381	-0.067939	-5.752960	1.778813	31.990192	4224.899	01:10:22.494	2024-01-18
0.373	1.014	-9.736	-0.066417	0.105714	-0.075312	-5.753141	1.778692	31.990072	4224.913	01:10:22.508	2024-01-18
0.368	1.011	-9.736	-0.073337	0.093047	-0.082686	-5.753323	1.778570	31.989953	4224.927	01:10:22.522	2024-01-18
0.364	1.010	-9.733	-0.090548	0.075189	-0.067149	-5.753504	1.778449	31.989830	4224.941	01:10:22.536	2024-01-18
0.377	1.016	-9.728	-0.112044	0.110666	-0.083556	-5.753925	1.778391	31.989734	4224.955	01:10:22.550	2024-01-18
0.389	1.013	-9.738	-0.094333	0.077602	-0.024926	-5.754701	1.777923	31.989628	4224.969	01:10:22.564	2024-01-18
