Accelerometer X	Accelerometer Y	Accelerometer Z	Gyroscope X	Gyroscope Y	Gyroscope Z	Roll	Pitch	Yaw	Time Stamp	    UTC Time	UTC Date
(m.s^-2)	(m.s^-2)	(m.s^-2)	(°.s^-1)	(°.s^-1)	(°.s^-1)	(°)	(°)	(°)	(s)	(HH:MM:SS.SS	(YYYY-MM-DD)
-0.879	0.010	-9.812	0.047894	0.617607	0.047465	0.990267	-4.960961	-45.040614	515.425	00:08:33.020	2024-02-22
-0.783	-0.275	-9.810	0.237743	0.428555	-0.046378	0.988386	-4.957502	-45.040515	515.439	00:08:33.034	2024-02-22
-0.774	-0.313	-9.765	-0.355300	0.090765	0.113873	0.988517	-4.958604	-45.038694	515.453	00:08:33.048	2024-02-22
-0.781	-0.306	-9.728	-0.291222	-0.096591	0.246450	0.990157	-4.963127	-45.035559	515.467	00:08:33.062	2024-02-22
-0.788	-0.299	-9.692	-0.227144	-0.283946	0.379028	0.991797	-4.967652	-45.032428	515.481	00:08:33.076	2024-02-22
-0.903	-0.147	-9.770	0.073721	-0.354642	0.679596	0.995213	-4.969463	-45.023343	515.495	00:08:33.090	2024-02-22
-0.905	-0.295	-9.796	0.121192	0.207495	0.886712	0.995803	-4.968212	-45.011968	515.509	00:08:33.104	2024-02-22
-0.828	-0.097	-9.593	-0.546122	0.432891	0.788727	0.987549	-4.962015	-45.000841	515.523	00:08:33.118	2024-02-22
-0.942	-0.164	-9.842	0.670648	1.130933	0.520722	0.987527	-4.945491	-44.993653	515.537	00:08:33.132	2024-02-22
-0.778	-0.252	-9.719	-0.712029	1.329617	0.378686	0.987120	-4.930353	-44.989080	515.551	00:08:33.146	2024-02-22
-0.774	0.077	-9.789	0.106644	0.615155	0.081109	0.984367	-4.919361	-44.987116	515.565	00:08:33.160	2024-02-22
-0.753	-0.292	-9.871	0.579934	0.086180	-0.061854	0.987254	-4.921912	-44.987502	515.579	00:08:33.174	2024-02-22
-0.751	-0.352	-9.804	-0.172541	-0.279154	0.010686	0.988261	-4.924419	-44.988824	515.593	00:08:33.188	2024-02-22
-0.768	-0.302	-9.787	-0.181990	-0.255815	-0.018891	0.987859	-4.926892	-44.990839	515.607	00:08:33.202	2024-02-22
-0.785	-0.253	-9.770	-0.191439	-0.232476	-0.048468	0.987456	-4.929366	-44.992857	515.621	00:08:33.216	2024-02-22
-0.801	-0.203	-9.754	-0.200888	-0.209137	-0.078045	0.987053	-4.931840	-44.994858	515.635	00:08:33.230	2024-02-22
-0.818	-0.153	-9.737	-0.210337	-0.185798	-0.107622	0.986651	-4.934313	-44.996887	515.649	00:08:33.244	2024-02-22
-0.835	-0.103	-9.721	-0.219786	-0.162459	-0.137199	0.986248	-4.936786	-44.998898	515.663	00:08:33.258	2024-02-22
-0.852	-0.054	-9.704	-0.229236	-0.139120	-0.166776	0.985846	-4.939260	-45.000910	515.677	00:08:33.272	2024-02-22
-0.869	-0.004	-9.687	-0.238685	-0.115781	-0.196353	0.985443	-4.941733	-45.002928	515.691	00:08:33.286	2024-02-22
-0.886	0.046	-9.671	-0.248134	-0.092442	-0.225930	0.985041	-4.944207	-45.004946	515.705	00:08:33.300	2024-02-22
-0.852	-0.260	-9.820	0.500285	0.219406	-0.465127	0.986560	-4.942176	-45.011609	515.719	00:08:33.314	2024-02-22
-0.753	-0.231	-9.666	-0.833186	-0.202623	-0.277402	0.987392	-4.944200	-45.016404	515.733	00:08:33.328	2024-02-22
-0.893	-0.039	-9.866	0.419933	-0.300237	-0.187484	0.987369	-4.949497	-45.019467	515.747	00:08:33.342	2024-02-22
-0.768	-0.240	-9.749	-0.059953	-0.421639	-0.091845	0.985307	-4.956206	-45.020365	515.761	00:08:33.356	2024-02-22
-0.811	-0.086	-9.711	0.348089	-0.902757	0.045100	0.990623	-4.965119	-45.020154	515.775	00:08:33.370	2024-02-22
-0.901	-0.299	-9.824	0.355657	-0.477345	0.097363	0.994991	-4.973368	-45.019419	515.789	00:08:33.384	2024-02-22
