Accelerometer X	Accelerometer Y	Accelerometer Z	Gyroscope X	Gyroscope Y	Gyroscope Z	Roll	Pitch	Yaw	Time Stamp	    UTC Time	UTC Date
(m.s^-2)	(m.s^-2)	(m.s^-2)	(°.s^-1)	(°.s^-1)	(°.s^-1)	(°)	(°)	(°)	(s)	(HH:MM:SS.SS	(YYYY-MM-DD)
-0.072	-0.109	-9.777	0.014834	0.073109	0.041286	0.292829	-0.367539	3.699224	292.265	22:20:32.000	2024-01-15
-0.068	-0.093	-9.783	0.003653	0.041148	0.037011	0.292430	-0.367324	3.699240	292.277	22:20:32.012	2024-01-15
-0.048	-0.021	-9.795	-0.008319	0.006086	0.025642	0.292341	-0.367538	3.699362	292.289	22:20:32.024	2024-01-15
-0.062	0.039	-9.798	0.059562	-0.076461	0.006196	0.292875	-0.368610	3.699696	292.301	22:20:32.036	2024-01-15
-0.086	-0.145	-9.805	-0.005354	0.019887	0.016916	0.292726	-0.368349	3.699799	292.313	22:20:32.048	2024-01-15
-0.042	-0.085	-9.796	-0.038072	0.120359	0.014811	0.292237	-0.367420	3.699788	292.325	22:20:32.060	2024-01-15
-0.043	0.045	-9.771	0.050233	-0.006053	-0.034766	0.292405	-0.368114	3.699924	292.337	22:20:32.072	2024-01-15
-0.081	-0.110	-9.812	-0.019862	-0.005720	0.006443	0.292474	-0.368389	3.699967	292.349	22:20:32.084	2024-01-15
-0.053	0.026	-9.804	-0.031174	0.031093	-0.032535	0.292347	-0.367829	3.699823	292.361	22:20:32.096	2024-01-15
-0.071	0.003	-9.774	0.100587	0.064451	-0.008680	0.292144	-0.366898	3.700300	292.373	22:20:32.108	2024-01-15
-0.099	-0.132	-9.822	-0.037418	0.057408	0.039568	0.291903	-0.365780	3.701089	292.385	22:20:32.120	2024-01-15
-0.021	0.023	-9.798	-0.026303	0.161223	0.044846	0.292566	-0.365455	3.701373	292.397	22:20:32.132	2024-01-15
-0.061	-0.027	-9.776	0.080521	-0.008395	0.016206	0.292955	-0.365120	3.701624	292.409	22:20:32.144	2024-01-15
-0.054	-0.113	-9.773	-0.004488	0.108157	0.057150	0.292796	-0.364764	3.701813	292.421	22:20:32.156	2024-01-15
-0.037	-0.046	-9.753	-0.000826	0.112463	0.058546	0.292637	-0.364408	3.702001	292.433	22:20:32.168	2024-01-15
-0.031	-0.003	-9.750	0.027485	0.089104	0.022785	0.292477	-0.364052	3.702190	292.445	22:20:32.180	2024-01-15
-0.025	0.039	-9.748	0.055795	0.065744	-0.012975	0.292318	-0.363697	3.702377	292.457	22:20:32.192	2024-01-15
-0.020	0.082	-9.746	0.084106	0.042385	-0.048736	0.292159	-0.363341	3.702566	292.469	22:20:32.204	2024-01-15
-0.068	-0.047	-9.774	0.052489	-0.049083	-0.024557	0.291999	-0.362985	3.702754	292.481	22:20:32.216	2024-01-15
-0.059	-0.046	-9.812	-0.068436	0.093816	0.054165	0.292116	-0.363186	3.703393	292.493	22:20:32.228	2024-01-15
-0.054	0.061	-9.764	0.003948	-0.108299	-0.000433	0.292370	-0.363666	3.704256	292.505	22:20:32.240	2024-01-15
-0.080	-0.024	-9.805	0.118409	0.039129	0.004781	0.292357	-0.362183	3.705476	292.517	22:20:32.252	2024-01-15
-0.061	-0.058	-9.811	-0.018608	0.065764	0.062717	0.292555	-0.361336	3.706421	292.529	22:20:32.264	2024-01-15
-0.045	0.052	-9.794	0.045893	-0.003650	0.044583	0.293174	-0.361760	3.706817	292.541	22:20:32.276	2024-01-15
-0.060	-0.149	-9.778	0.058908	0.021753	0.040849	0.292590	-0.361218	3.706902	292.553	22:20:32.288	2024-01-15
-0.061	-0.089	-9.802	-0.108128	0.058327	0.038322	0.291405	-0.360193	3.706832	292.565	22:20:32.300	2024-01-15
-0.047	0.066	-9.765	0.014167	-0.013224	-0.037770	0.291895	-0.360998	3.706678	292.577	22:20:32.312	2024-01-15
-0.084	-0.038	-9.810	0.028478	-0.011375	-0.001039	0.292080	-0.361394	3.706712	292.589	22:20:32.324	2024-01-15
-0.066	-0.083	-9.808	-0.040710	0.072032	0.010673	0.291653	-0.360973	3.707124	292.601	22:20:32.336	2024-01-15
-0.048	0.060	-9.785	0.068756	-0.041268	-0.007097	0.291678	-0.361245	3.707320	292.613	22:20:32.348	2024-01-15
-0.052	0.083	-9.788	0.056104	-0.083637	-0.003332	0.291930	-0.361863	3.707407	292.625	22:20:32.360	2024-01-15
-0.053	0.081	-9.794	0.012782	-0.073916	0.001604	0.292182	-0.362481	3.707496	292.637	22:20:32.372	2024-01-15
-0.062	0.044	-9.793	0.033715	-0.018877	-0.004810	0.292126	-0.362677	3.707864	292.649	22:20:32.384	2024-01-15
-0.083	-0.070	-9.794	0.015610	0.049156	0.020626	0.291454	-0.362028	3.708795	292.661	22:20:32.396	2024-01-15
-0.047	-0.012	-9.799	-0.058565	0.131705	0.046673	0.291677	-0.361397	3.709428	292.673	22:20:32.408	2024-01-15
-0.066	0.077	-9.763	0.101477	-0.044321	0.001895	0.292348	-0.360774	3.709912	292.685	22:20:32.420	2024-01-15
-0.065	-0.160	-9.780	0.022309	0.091268	-0.017916	0.291613	-0.360096	3.709939	292.697	22:20:32.432	2024-01-15
-0.032	-0.012	-9.792	-0.024402	0.029112	0.070301	0.291298	-0.359832	3.710076	292.709	22:20:32.444	2024-01-15
-0.057	0.035	-9.793	0.070101	-0.030539	0.020815	0.291821	-0.360393	3.710440	292.721	22:20:32.456	2024-01-15
-0.086	-0.145	-9.832	-0.015946	0.030926	0.026757	0.291764	-0.360062	3.710630	292.733	22:20:32.468	2024-01-15
-0.037	-0.075	-9.774	-0.038353	0.104499	-0.017583	0.291416	-0.359286	3.710734	292.745	22:20:32.480	2024-01-15
-0.067	0.057	-9.799	0.087951	-0.018308	0.002398	0.291448	-0.359271	3.711094	292.757	22:20:32.492	2024-01-15
-0.065	-0.155	-9.792	0.013563	0.051051	0.057687	0.291455	-0.359046	3.711434	292.769	22:20:32.504	2024-01-15
-0.069	-0.160	-9.796	0.018349	0.058863	0.053429	0.291409	-0.358401	3.711728	292.781	22:20:32.516	2024-01-15
-0.073	-0.165	-9.800	0.023134	0.066676	0.049170	0.291363	-0.357757	3.712023	292.793	22:20:32.528	2024-01-15
-0.077	-0.171	-9.804	0.027919	0.074489	0.044912	0.291316	-0.357113	3.712318	292.805	22:20:32.540	2024-01-15
-0.082	-0.176	-9.808	0.032704	0.082302	0.040653	0.291270	-0.356468	3.712612	292.817	22:20:32.552	2024-01-15
-0.086	-0.181	-9.812	0.037489	0.090115	0.036394	0.291224	-0.355824	3.712908	292.829	22:20:32.564	2024-01-15
-0.051	-0.113	-9.791	0.002045	0.130360	0.035553	0.291178	-0.355179	3.713202	292.841	22:20:32.576	2024-01-15
-0.051	0.044	-9.806	-0.029919	-0.021088	0.028825	0.291205	-0.355170	3.713465	292.853	22:20:32.588	2024-01-15
-0.085	-0.005	-9.818	0.066762	0.025673	-0.028180	0.291270	-0.355477	3.713713	292.865	22:20:32.600	2024-01-15
-0.061	-0.151	-9.789	-0.050886	0.060756	0.003519	0.290957	-0.354725	3.713428	292.877	22:20:32.612	2024-01-15
-0.036	0.001	-9.800	0.025057	0.074109	-0.039327	0.290766	-0.354564	3.713245	292.889	22:20:32.624	2024-01-15
-0.067	-0.061	-9.773	0.046830	-0.087032	0.016730	0.290820	-0.355586	3.713270	292.901	22:20:32.636	2024-01-15
-0.058	-0.043	-9.805	-0.059563	0.116456	0.034600	0.291038	-0.355463	3.713466	292.913	22:20:32.648	2024-01-15
-0.059	0.090	-9.834	0.044663	-0.066479	-0.044551	0.291337	-0.354767	3.713748	292.925	22:20:32.660	2024-01-15
-0.082	-0.040	-9.743	0.083566	0.048600	-0.006857	0.291244	-0.353375	3.714097	292.937	22:20:32.672	2024-01-15
-0.062	-0.040	-9.817	0.000660	0.129406	0.014274	0.291440	-0.352645	3.714419	292.949	22:20:32.684	2024-01-15
-0.033	0.034	-9.775	0.051222	-0.007926	0.023655	0.292215	-0.353237	3.714689	292.961	22:20:32.696	2024-01-15
-0.077	-0.144	-9.777	0.046762	0.004210	0.002942	0.292156	-0.353301	3.714821	292.973	22:20:32.708	2024-01-15
-0.082	-0.125	-9.782	0.052005	-0.008634	-0.003916	0.291680	-0.353102	3.714885	292.985	22:20:32.720	2024-01-15
-0.080	-0.049	-9.784	0.074645	-0.041300	-0.003911	0.291204	-0.352903	3.714948	292.997	22:20:32.732	2024-01-15
-0.088	-0.074	-9.799	0.016694	-0.015019	0.004951	0.290888	-0.352552	3.715113	293.009	22:20:32.744	2024-01-15
