Accelerometer X	Accelerometer Y	Accelerometer Z	Gyroscope X	Gyroscope Y	Gyroscope Z	Roll	Pitch	Yaw	Time Stamp	    UTC Time	UTC Date
(m.s^-2)	(m.s^-2)	(m.s^-2)	(°.s^-1)	(°.s^-1)	(°.s^-1)	(°)	(°)	(°)	(s)	(HH:MM:SS.SS	(YYYY-MM-DD)
0.157	-0.035	-9.822	0.082001	0.025554	0.047911	-0.175368	0.881665	-0.620155	67.210	01:22:06.000	2024-01-21
0.150	0.031	-9.772	-0.046030	0.063079	0.009750	-0.176028	0.881822	-0.619481	67.224	01:22:06.014	2024-01-21
0.146	0.124	-9.763	0.059108	0.011552	0.022614	-0.176211	0.881976	-0.619661	67.238	01:22:06.028	2024-01-21
0.132	-0.096	-9.805	-0.007994	0.049943	-0.028155	-0.176036	0.882126	-0.620484	67.252	01:22:06.042	2024-01-21
0.133	-0.021	-9.797	-0.001858	0.040266	-0.021332	-0.175862	0.882276	-0.621307	67.266	01:22:06.056	2024-01-21
0.133	0.054	-9.790	0.004278	0.030590	-0.014509	-0.175688	0.882426	-0.622129	67.280	01:22:06.070	2024-01-21
0.134	0.129	-9.783	0.010413	0.020914	-0.007686	-0.175513	0.882576	-0.622952	67.294	01:22:06.084	2024-01-21
0.151	0.111	-9.788	0.091254	0.024422	0.003755	-0.175339	0.882726	-0.623774	67.308	01:22:06.098	2024-01-21
0.166	-0.109	-9.790	0.015543	0.059882	-0.013791	-0.175591	0.882849	-0.624931	67.322	01:22:06.112	2024-01-21
0.172	0.090	-9.759	0.014420	-0.002186	0.025692	-0.175287	0.882833	-0.625480	67.336	01:22:06.126	2024-01-21
0.152	-0.031	-9.845	0.076767	0.029825	0.023108	-0.174148	0.882641	-0.625143	67.350	01:22:06.140	2024-01-21
0.152	0.029	-9.778	-0.075487	0.012845	-0.005815	-0.175141	0.882112	-0.624221	67.364	01:22:06.154	2024-01-21
0.139	0.100	-9.761	0.042706	0.025761	0.000176	-0.175605	0.882197	-0.623360	67.378	01:22:06.168	2024-01-21
0.146	-0.068	-9.806	-0.031593	0.067379	-0.011015	-0.175642	0.882628	-0.622563	67.392	01:22:06.182	2024-01-21
0.169	0.101	-9.785	-0.010450	0.004603	-0.013527	-0.175494	0.882383	-0.621864	67.406	01:22:06.196	2024-01-21
0.135	0.018	-9.817	0.082916	-0.014161	0.019882	-0.175531	0.881952	-0.622214	67.420	01:22:06.210	2024-01-21
0.138	0.040	-9.805	0.072593	-0.014360	0.030525	-0.175590	0.881629	-0.622716	67.434	01:22:06.224	2024-01-21
0.142	0.062	-9.794	0.062269	-0.014560	0.041168	-0.175520	0.881761	-0.622549	67.448	01:22:06.238	2024-01-21
0.145	0.084	-9.782	0.051946	-0.014760	0.051811	-0.175450	0.881892	-0.622383	67.462	01:22:06.252	2024-01-21
