# Exporter with the sbgCenter application
Time Stamp	Roll	Pitch	Yaw
(s)	(°)	(°)	(°)
224.100	-6.668	-1.010	343.423
224.120	-6.669	-1.010	343.425
224.140	-6.665	-1.010	343.424
224.160	-6.663	-1.010	343.426
224.180	-6.667	-1.011	343.427
224.200	-6.666	-1.012	343.428
224.220	-6.663	-1.010	343.428
224.240	-6.664	-1.011	343.429
224.260	-6.667	-1.011	343.431
224.280	-6.665	-1.012	343.431
224.300	-6.663	-1.011	343.432
224.320	-6.665	-1.011	343.434
224.340	-6.667	-1.011	343.434
224.360	-6.665	-1.010	343.435
224.380	-6.665	-1.011	343.434
224.400	-6.667	-1.010	343.436
224.420	-6.666	-1.010	343.436
224.440	-6.664	-1.010	343.436
224.460	-6.664	-1.010	343.437
224.480	-6.666	-1.010	343.438
224.500	-6.665	-1.010	343.439
224.520	-6.665	-1.010	343.439
224.540	-6.666	-1.011	343.440
224.560	-6.664	-1.011	343.441
224.580	-6.664	-1.011	343.441
224.600	-6.665	-1.012	343.443
224.620	-6.664	-1.012	343.443
224.640	-6.664	-1.012	343.444
224.660	-6.664	-1.012	343.445
224.680	-6.664	-1.012	343.447
224.700	-6.664	-1.013	343.447
224.720	-6.664	-1.012	343.447
224.740	-6.663	-1.013	343.448
224.760	-6.664	-1.013	343.449
224.780	-6.665	-1.014	343.450
224.800	-6.665	-1.013	343.450
224.820	-6.663	-1.014	343.450
224.840	-6.664	-1.014	343.452
224.860	-6.665	-1.013	343.453
224.880	-6.665	-1.013	343.454
224.900	-6.664	-1.013	343.454
224.920	-6.663	-1.013	343.455
224.940	-6.665	-1.013	343.456
224.960	-6.665	-1.013	343.456
224.980	-6.664	-1.013	343.456
225.000	-6.664	-1.013	343.457
225.020	-6.664	-1.014	343.458
225.040	-6.664	-1.013	343.458
225.060	-6.662	-1.014	343.459
225.080	-6.663	-1.013	343.460
225.100	-6.664	-1.014	343.461
225.120	-6.662	-1.013	343.461
225.140	-6.662	-1.013	343.461
225.160	-6.664	-1.013	343.463
225.180	-6.663	-1.013	343.463
225.200	-6.661	-1.013	343.464
225.220	-6.661	-1.013	343.465
225.240	-6.663	-1.013	343.466
225.260	-6.662	-1.013	343.467
225.280	-6.660	-1.013	343.467
225.300	-6.664	-1.013	343.469
225.320	-6.665	-1.013	343.470
225.340	-6.662	-1.014	343.471
225.360	-6.660	-1.015	343.472
225.380	-6.661	-1.014	343.473
225.400	-6.662	-1.014	343.474
225.420	-6.659	-1.014	343.473
225.440	-6.660	-1.014	343.474
225.460	-6.662	-1.013	343.476
225.480	-6.659	-1.013	343.475
225.500	-6.659	-1.013	343.476
225.520	-6.661	-1.013	343.477
225.540	-6.661	-1.012	343.478
225.560	-6.644	-1.021	343.480
225.580	-6.542	-1.010	343.473
225.600	-6.490	-1.034	343.471
225.620	-6.565	-1.061	343.493
225.640	-6.626	-1.071	343.489
225.660	-6.574	-1.069	343.466
