Accelerometer X	Accelerometer Y	Accelerometer Z	Gyroscope X	Gyroscope Y	Gyroscope Z	Roll	Pitch	Yaw	Time Stamp	    UTC Time	UTC Date
(m.s^-2)	(m.s^-2)	(m.s^-2)	(°.s^-1)	(°.s^-1)	(°.s^-1)	(°)	(°)	(°)	(s)	(HH:MM:SS.SS	(YYYY-MM-DD)
-0.819	0.406	-9.723	-0.264284	-0.312404	0.388157	-2.333973	-5.433821	6.084092	355.965	00:05:55.750	2024-01-18
-0.808	0.416	-9.741	-0.216131	-0.761905	0.238541	-2.337310	-5.444297	6.087581	355.979	00:05:55.764	2024-01-18
-0.849	0.411	-9.754	-0.160471	-1.056915	-0.053315	-2.339518	-5.460049	6.087404	355.993	00:05:55.778	2024-01-18
-0.910	0.401	-9.750	-0.133864	-1.082212	-0.352165	-2.340871	-5.475040	6.083879	356.007	00:05:55.792	2024-01-18
-0.973	0.414	-9.756	-0.121338	-0.828735	-0.287696	-2.342604	-5.486634	6.081428	356.021	00:05:55.806	2024-01-18
-1.023	0.405	-9.745	-0.195511	-0.403339	0.051128	-2.345034	-5.493868	6.081149	356.035	00:05:55.820	2024-01-18
-0.994	0.436	-9.744	-0.121206	-0.043017	0.103081	-2.343738	-5.489514	6.082102	356.049	00:05:55.834	2024-01-18
-0.941	0.462	-9.745	0.041242	0.171734	0.008360	-2.342442	-5.485161	6.083057	356.063	00:05:55.848	2024-01-18
-0.889	0.487	-9.747	0.203690	0.386486	-0.086362	-2.341145	-5.480808	6.084008	356.077	00:05:55.862	2024-01-18
-0.865	0.424	-9.773	0.325999	0.502196	-0.181328	-2.339848	-5.476455	6.084960	356.091	00:05:55.876	2024-01-18
-0.838	0.389	-9.675	0.076893	0.360684	-0.363651	-2.337491	-5.473396	6.082635	356.105	00:05:55.890	2024-01-18
-0.891	0.393	-9.719	0.145438	0.186978	-0.091062	-2.335810	-5.471438	6.081235	356.119	00:05:55.904	2024-01-18
-0.917	0.364	-9.758	-0.037396	0.091644	0.284221	-2.336875	-5.470937	6.085421	356.133	00:05:55.918	2024-01-18
-0.881	0.372	-9.762	-0.020878	-0.010109	0.091237	-2.336576	-5.472085	6.085224	356.147	00:05:55.932	2024-01-18
-0.873	0.375	-9.777	-0.034066	-0.046543	-0.201657	-2.336424	-5.473459	6.084053	356.161	00:05:55.946	2024-01-18
-0.881	0.432	-9.727	0.033502	-0.050428	-0.077728	-2.336773	-5.474768	6.082558	356.175	00:05:55.960	2024-01-18
-0.914	0.389	-9.738	-0.091794	0.064831	0.411007	-2.339840	-5.474613	6.089947	356.189	00:05:55.974	2024-01-18
-0.922	0.375	-9.734	-0.242972	0.045966	0.547021	-2.343827	-5.479891	6.094485	356.203	00:05:55.988	2024-01-18
-0.942	0.383	-9.735	-0.258984	-0.034284	0.453677	-2.348503	-5.489245	6.096881	356.217	00:05:56.002	2024-01-18
-0.962	0.391	-9.735	-0.274995	-0.114533	0.360332	-2.353180	-5.498597	6.099280	356.231	00:05:56.016	2024-01-18
-0.982	0.400	-9.735	-0.291006	-0.194782	0.266988	-2.357857	-5.507950	6.101679	356.245	00:05:56.030	2024-01-18
-1.003	0.408	-9.736	-0.307017	-0.275032	0.173644	-2.362535	-5.517302	6.104079	356.259	00:05:56.044	2024-01-18
-1.023	0.416	-9.736	-0.323028	-0.355281	0.080299	-2.367213	-5.526655	6.106479	356.273	00:05:56.058	2024-01-18
-0.990	0.429	-9.730	-0.241801	-0.125813	0.267957	-2.370432	-5.529078	6.111164	356.287	00:05:56.072	2024-01-18
-0.938	0.423	-9.738	-0.103592	-0.010895	0.431300	-2.372544	-5.529921	6.116719	356.301	00:05:56.086	2024-01-18
-0.917	0.401	-9.735	-0.003983	0.029392	0.411531	-2.373501	-5.530197	6.122927	356.315	00:05:56.100	2024-01-18
-0.884	0.418	-9.753	-0.120461	-0.031978	0.289880	-2.375464	-5.531400	6.126735	356.329	00:05:56.114	2024-01-18
-0.885	0.409	-9.753	-0.135233	-0.065061	0.209712	-2.377868	-5.533271	6.129422	356.343	00:05:56.128	2024-01-18
-0.872	0.424	-9.739	-0.184267	-0.175185	0.079672	-2.380479	-5.536252	6.130974	356.357	00:05:56.142	2024-01-18
-0.878	0.428	-9.739	-0.154023	-0.415629	-0.046605	-2.382345	-5.542898	6.130773	356.371	00:05:56.156	2024-01-18
-0.902	0.414	-9.743	-0.094346	-0.504663	0.060346	-2.383997	-5.550538	6.130970	356.385	00:05:56.170	2024-01-18
-0.933	0.394	-9.736	-0.143939	-0.444697	-0.065413	-2.385666	-5.557532	6.131074	356.399	00:05:56.184	2024-01-18
-0.950	0.392	-9.740	-0.145069	-0.316200	-0.052231	-2.387588	-5.561921	6.130545	356.413	00:05:56.198	2024-01-18
-0.961	0.408	-9.755	-0.094842	-0.190456	0.053370	-2.389510	-5.566308	6.130019	356.427	00:05:56.212	2024-01-18
-0.960	0.420	-9.752	-0.030128	-0.046576	0.209459	-2.390673	-5.568611	6.131419	356.441	00:05:56.226	2024-01-18
-0.932	0.404	-9.735	0.050441	0.099051	0.258991	-2.390822	-5.568129	6.135388	356.455	00:05:56.240	2024-01-18
-0.901	0.412	-9.738	-0.142622	0.117249	0.205224	-2.392854	-5.567253	6.137798	356.469	00:05:56.254	2024-01-18
-0.873	0.417	-9.729	-0.097732	-0.041899	0.104203	-2.394664	-5.568724	6.138723	356.483	00:05:56.268	2024-01-18
-0.891	0.395	-9.755	-0.121886	-0.240238	-0.087517	-2.396410	-5.572224	6.138488	356.497	00:05:56.282	2024-01-18
-0.905	0.408	-9.737	-0.176381	-0.294470	-0.068256	-2.398779	-5.577322	6.137967	356.511	00:05:56.296	2024-01-18
-0.925	0.409	-9.751	-0.186784	-0.311411	-0.007741	-2.401626	-5.582123	6.138528	356.525	00:05:56.310	2024-01-18
-0.929	0.408	-9.747	-0.229499	-0.261182	0.092261	-2.404589	-5.586581	6.139741	356.539	00:05:56.324	2024-01-18
-0.921	0.408	-9.744	-0.247082	-0.248799	0.136634	-2.407368	-5.590481	6.141510	356.553	00:05:56.338	2024-01-18
-0.924	0.411	-9.742	-0.229679	-0.216720	0.168144	-2.410147	-5.594380	6.143279	356.567	00:05:56.352	2024-01-18
-0.929	0.415	-9.742	-0.194571	-0.184418	0.191332	-2.412926	-5.598279	6.145049	356.581	00:05:56.366	2024-01-18
-0.934	0.418	-9.742	-0.159462	-0.152115	0.214519	-2.415706	-5.602179	6.146819	356.595	00:05:56.380	2024-01-18
-0.940	0.422	-9.741	-0.124354	-0.119813	0.237707	-2.418485	-5.606078	6.148588	356.609	00:05:56.394	2024-01-18
-0.945	0.425	-9.741	-0.089245	-0.087511	0.260894	-2.421265	-5.609978	6.150358	356.623	00:05:56.408	2024-01-18
-0.926	0.401	-9.746	-0.147932	-0.072753	0.273833	-2.424170	-5.613607	6.152153	356.637	00:05:56.422	2024-01-18
-0.915	0.398	-9.743	-0.246416	-0.084720	0.148766	-2.427826	-5.615616	6.154100	356.651	00:05:56.436	2024-01-18
-0.912	0.420	-9.735	-0.250184	-0.159330	0.032690	-2.431808	-5.618350	6.155374	356.665	00:05:56.450	2024-01-18
-0.916	0.429	-9.744	-0.328301	-0.179485	0.088717	-2.436260	-5.621720	6.156552	356.679	00:05:56.464	2024-01-18
-0.910	0.422	-9.737	-0.381719	-0.227332	0.069058	-2.441566	-5.625962	6.158152	356.693	00:05:56.478	2024-01-18
-0.858	0.442	-9.730	-0.255541	-0.495986	-0.047156	-2.443845	-5.635661	6.156622	356.707	00:05:56.492	2024-01-18
-0.825	0.422	-9.746	-0.128836	-0.917820	-0.372059	-2.446387	-5.648601	6.152363	356.721	00:05:56.506	2024-01-18
-0.910	0.403	-9.739	-0.331896	-1.103032	-0.585880	-2.449953	-5.664648	6.145169	356.735	00:05:56.520	2024-01-18
-0.982	0.453	-9.742	-0.230151	-1.029890	-0.435093	-2.451988	-5.679028	6.141407	356.749	00:05:56.534	2024-01-18
-0.996	0.461	-9.742	-0.092512	-0.796394	-0.184128	-2.452170	-5.689489	6.141399	356.763	00:05:56.548	2024-01-18
-1.001	0.436	-9.733	0.015148	-0.569716	-0.045650	-2.450962	-5.697007	6.144208	356.777	00:05:56.562	2024-01-18
-1.006	0.412	-9.724	0.122808	-0.343039	0.092827	-2.449755	-5.704526	6.147016	356.791	00:05:56.576	2024-01-18
-1.022	0.404	-9.725	0.185770	-0.044508	0.028629	-2.447439	-5.705748	6.148294	356.805	00:05:56.590	2024-01-18
-0.988	0.414	-9.729	0.249341	0.153922	0.033107	-2.444068	-5.704502	6.147411	356.819	00:05:56.604	2024-01-18
-0.937	0.384	-9.756	0.328847	0.137678	-0.351940	-2.439170	-5.703384	6.142661	356.833	00:05:56.618	2024-01-18
-0.958	0.358	-9.764	0.155265	0.198770	-0.843374	-2.435575	-5.701028	6.130899	356.847	00:05:56.632	2024-01-18
-0.999	0.403	-9.747	0.147090	0.409497	-0.806667	-2.432717	-5.695885	6.120838	356.861	00:05:56.646	2024-01-18
-1.038	0.397	-9.719	0.087614	0.770161	-0.360862	-2.430552	-5.687300	6.114604	356.875	00:05:56.660	2024-01-18
-0.991	0.395	-9.720	0.056970	1.011355	0.149175	-2.430732	-5.673446	6.118154	356.889	00:05:56.674	2024-01-18
-0.933	0.402	-9.726	-0.101369	0.990340	0.566790	-2.431227	-5.668091	6.121817	356.903	00:05:56.688	2024-01-18
