Accelerometer X	Accelerometer Y	Accelerometer Z	Gyroscope X	Gyroscope Y	Gyroscope Z	Roll	Pitch	Yaw	Time Stamp	    UTC Time	UTC Date	
(m.s^-2)	(m.s^-2)	(m.s^-2)	(°.s^-1)	(°.s^-1)	(°.s^-1)	(°)	(°)	(°)	(s)	(HH:MM:SS.SS	(YYYY-MM-DD)	
0.454	0.01	-9.856	0.075752	-0.036945	-0.004928	-0.405519	2.496221	57.564431	1850.65	13:10.0	3/16/2024	0.65
0.458	0.103	-9.862	-0.047274	0.019858	-0.037877	-0.40634	2.495002	57.564759	1850.664	13:10.0	3/16/2024	0.664
0.441	0.139	-9.75	0.108622	0.108365	-0.047451	-0.406146	2.494933	57.564821	1850.678	13:10.0	3/16/2024	0.678
0.415	0.153	-9.638	-0.019517	0.050987	-0.037823	-0.405099	2.495655	57.56465	1850.692	13:10.0	3/16/2024	0.692
0.447	0.122	-9.814	0.029132	0.077852	-0.070891	-0.403502	2.495938	57.564261	1850.706	13:10.1	3/16/2024	0.706
0.418	0.132	-9.864	-0.095279	0.020333	0.016681	-0.40269	2.495505	57.564384	1850.72	13:10.1	3/16/2024	0.72
0.431	0.11	-9.682	0.000346	0.024409	-0.014371	-0.402405	2.49518	57.564636	1850.734	13:10.1	3/16/2024	0.734
0.448	0.131	-9.657	-0.058993	0.052583	-0.015351	-0.402652	2.495838	57.564684	1850.748	13:10.1	3/16/2024	0.748
0.445	0.09	-9.678	-0.037327	0.049501	-0.014536	-0.402899	2.496497	57.564718	1850.762	13:10.1	3/16/2024	0.762
0.443	0.05	-9.7	-0.015661	0.046418	-0.013721	-0.403146	2.497155	57.564766	1850.776	13:10.1	3/16/2024	0.776
0.44	0.009	-9.721	0.006006	0.043336	-0.012906	-0.403393	2.497813	57.564814	1850.79	13:10.1	3/16/2024	0.79
0.438	-0.032	-9.743	0.027672	0.040254	-0.012091	-0.403639	2.498471	57.564855	1850.804	13:10.2	3/16/2024	0.804
0.43	-0.031	-9.75	-0.075121	0.018719	0.017617	-0.403804	2.4985	57.56506	1850.818	13:10.2	3/16/2024	0.818
0.473	0.13	-9.862	0.06651	-0.007656	-0.065066	-0.403983	2.498057	57.565401	1850.832	13:10.2	3/16/2024	0.832
0.459	0.022	-9.817	0.036282	0.105042	-0.028117	-0.40461	2.497626	57.565688	1850.846	13:10.2	3/16/2024	0.846
0.446	0.11	-9.8	0.121045	0.081158	-0.05261	-0.404715	2.497738	57.565476	1850.86	13:10.2	3/16/2024	0.86
0.439	0.09	-9.879	-0.03484	0.024098	-0.051732	-0.404705	2.49749	57.565374	1850.874	13:10.2	3/16/2024	0.874
0.441	0.074	-9.805	0.063025	0.045113	0.017292	-0.404929	2.495796	57.565975	1850.888	13:10.2	3/16/2024	0.888
0.43	0.165	-9.625	-0.063956	0.048171	-0.080827	-0.403623	2.496258	57.565265	1850.902	13:10.3	3/16/2024	0.902
0.441	0.152	-9.73	0.008806	0.013899	-0.070678	-0.402656	2.496867	57.564807	1850.916	13:10.3	3/16/2024	0.916
0.453	0.076	-9.76	-0.002021	-0.002569	-0.063697	-0.402485	2.497194	57.565039	1850.93	13:10.3	3/16/2024	0.93
0.45	0.087	-9.745	0.003864	0.002104	-0.067742	-0.402314	2.49752	57.565258	1850.944	13:10.3	3/16/2024	0.944
0.447	0.097	-9.729	0.009749	0.006778	-0.071788	-0.402142	2.497846	57.56549	1850.958	13:10.3	3/16/2024	0.958
