Accelerometer X	Accelerometer Y	Accelerometer Z	Gyroscope X	Gyroscope Y	Gyroscope Z	Roll	Pitch	Yaw	Time Stamp	    UTC Time	UTC Date
(m.s^-2)	(m.s^-2)	(m.s^-2)	(°.s^-1)	(°.s^-1)	(°.s^-1)	(°)	(°)	(°)	(s)	(HH:MM:SS.SS	(YYYY-MM-DD)
0.544	-0.007	-9.800	0.021075	0.065135	-0.103162	-0.414013	2.565680	60.143668	1293.618	17:52:18.000	2024-03-16
0.456	0.015	-9.859	-0.031160	0.069805	-0.062365	-0.414634	2.565445	60.143299	1293.632	17:52:18.014	2024-03-16
0.439	0.084	-9.766	-0.064584	0.082944	-0.026235	-0.414730	2.564822	60.143641	1293.646	17:52:18.028	2024-03-16
0.420	0.171	-9.820	-0.045383	0.018378	-0.023418	-0.414618	2.564033	60.144419	1293.660	17:52:18.042	2024-03-16
0.456	0.087	-9.697	-0.015193	0.056503	-0.031260	-0.415602	2.563997	60.144843	1293.674	17:52:18.056	2024-03-16
0.446	0.090	-9.711	-0.061572	0.045744	-0.041460	-0.415343	2.564515	60.144904	1293.688	17:52:18.070	2024-03-16
0.444	0.071	-9.801	-0.062723	0.064045	-0.023964	-0.414587	2.565255	60.144849	1293.702	17:52:18.084	2024-03-16
0.468	0.049	-9.761	-0.041037	0.065080	-0.042316	-0.413831	2.565995	60.144788	1293.716	17:52:18.098	2024-03-16
0.445	0.154	-9.721	-0.028239	0.040675	-0.004541	-0.413825	2.566459	60.144692	1293.730	17:52:18.112	2024-03-16
0.443	0.099	-9.811	0.000328	0.030073	-0.022860	-0.414426	2.566527	60.144884	1293.744	17:52:18.126	2024-03-16
0.435	0.095	-9.757	-0.003154	0.059702	-0.081958	-0.415669	2.566130	60.145478	1293.758	17:52:18.140	2024-03-16
0.468	0.058	-9.719	0.014891	0.073218	-0.042669	-0.415169	2.566310	60.145328	1293.772	17:52:18.154	2024-03-16
0.492	0.131	-9.827	-0.095699	0.028876	-0.003369	-0.414151	2.566239	60.145594	1293.786	17:52:18.168	2024-03-16
0.447	0.069	-9.794	0.038834	0.060489	-0.024372	-0.413101	2.565904	60.146120	1293.800	17:52:18.182	2024-03-16
0.452	0.099	-9.861	-0.007714	0.012612	-0.015825	-0.414191	2.565119	60.146284	1293.814	17:52:18.196	2024-03-16
0.407	0.094	-9.846	0.020638	0.018387	-0.022650	-0.414352	2.565093	60.146386	1293.828	17:52:18.210	2024-03-16
0.406	0.089	-9.816	0.021337	0.017015	-0.028955	-0.414140	2.565369	60.146448	1293.842	17:52:18.224	2024-03-16
0.405	0.083	-9.787	0.022037	0.015643	-0.035260	-0.413929	2.565645	60.146530	1293.856	17:52:18.238	2024-03-16
0.404	0.077	-9.757	0.022736	0.014271	-0.041565	-0.413717	2.565921	60.146591	1293.870	17:52:18.252	2024-03-16
0.403	0.072	-9.728	0.023436	0.012899	-0.047870	-0.413506	2.566197	60.146666	1293.884	17:52:18.266	2024-03-16
0.403	0.066	-9.698	0.024135	0.011526	-0.054175	-0.413294	2.566474	60.146735	1293.898	17:52:18.280	2024-03-16
0.463	0.050	-9.775	-0.055760	0.005598	-0.018427	-0.413667	2.566063	60.146209	1293.912	17:52:18.294	2024-03-16
0.475	0.071	-9.844	0.064707	0.057228	-0.065846	-0.413723	2.565797	60.145895	1293.926	17:52:18.308	2024-03-16
0.478	0.119	-9.750	-0.057064	0.106462	-0.019300	-0.413649	2.565783	60.145976	1293.940	17:52:18.322	2024-03-16
0.433	0.077	-9.704	0.019466	0.085222	-0.036662	-0.414229	2.566635	60.147575	1293.954	17:52:18.336	2024-03-16
0.475	0.050	-9.793	-0.083921	-0.031501	-0.041355	-0.414448	2.566416	60.148490	1293.968	17:52:18.350	2024-03-16
0.455	-0.010	-9.808	-0.018618	-0.015998	0.007748	-0.414254	2.565702	60.149016	1293.982	17:52:18.364	2024-03-16
0.460	0.182	-9.962	-0.080112	-0.026206	-0.018141	-0.413384	2.564824	60.149241	1293.996	17:52:18.378	2024-03-16
0.459	0.042	-9.829	0.124079	0.135608	-0.026456	-0.413514	2.564949	60.149084	1294.010	17:52:18.392	2024-03-16
0.464	0.074	-9.659	-0.028561	0.076906	-0.083449	-0.413995	2.565103	60.148948	1294.024	17:52:18.406	2024-03-16
0.465	0.053	-9.687	0.007810	0.058584	-0.074078	-0.414723	2.565072	60.148934	1294.038	17:52:18.420	2024-03-16
0.465	0.033	-9.715	0.044181	0.040263	-0.064707	-0.414582	2.564576	60.148101	1294.052	17:52:18.434	2024-03-16
0.484	0.103	-9.686	-0.026567	0.034455	-0.019037	-0.413843	2.564362	60.147643	1294.066	17:52:18.448	2024-03-16
0.444	0.205	-9.798	-0.008376	0.004866	-0.088348	-0.412878	2.564312	60.147431	1294.080	17:52:18.462	2024-03-16
0.514	0.054	-9.849	0.017346	0.061738	-0.079737	-0.413255	2.563981	60.146796	1294.094	17:52:18.476	2024-03-16
0.399	0.017	-9.738	0.107338	0.089275	-0.040225	-0.413598	2.564377	60.146557	1294.108	17:52:18.490	2024-03-16
0.446	0.067	-9.720	-0.084507	0.073470	-0.051196	-0.413605	2.565004	60.146455	1294.122	17:52:18.504	2024-03-16
0.457	0.078	-9.712	0.003452	0.055538	0.007124	-0.412806	2.565480	60.146332	1294.136	17:52:18.518	2024-03-16
0.481	0.163	-9.668	-0.047666	-0.014422	-0.055947	-0.412772	2.565511	60.146530	1294.150	17:52:18.532	2024-03-16
0.431	0.160	-9.808	0.042914	-0.050944	-0.045530	-0.412866	2.565469	60.146776	1294.164	17:52:18.546	2024-03-16
0.438	0.149	-9.818	0.025282	-0.037659	-0.046434	-0.412959	2.565426	60.147042	1294.178	17:52:18.560	2024-03-16
0.446	0.138	-9.827	0.007650	-0.024374	-0.047338	-0.413052	2.565383	60.147295	1294.192	17:52:18.574	2024-03-16
0.454	0.127	-9.837	-0.009981	-0.011089	-0.048243	-0.413146	2.565340	60.147547	1294.206	17:52:18.588	2024-03-16
0.462	0.116	-9.847	-0.027613	0.002196	-0.049147	-0.413239	2.565297	60.147800	1294.220	17:52:18.602	2024-03-16
0.469	0.105	-9.856	-0.045245	0.015481	-0.050051	-0.413332	2.565254	60.148053	1294.234	17:52:18.616	2024-03-16
0.477	0.094	-9.866	-0.062877	0.028766	-0.050956	-0.413425	2.565212	60.148312	1294.248	17:52:18.630	2024-03-16
0.467	0.045	-9.843	-0.023810	0.063263	-0.065667	-0.413540	2.565107	60.148517	1294.262	17:52:18.644	2024-03-16
0.456	0.093	-9.777	-0.049176	0.046099	-0.027802	-0.413708	2.564847	60.148606	1294.276	17:52:18.658	2024-03-16
0.435	0.158	-9.847	-0.049718	0.080368	-0.006006	-0.413353	2.564420	60.149098	1294.290	17:52:18.672	2024-03-16
0.458	0.059	-9.716	0.010357	0.076131	-0.007150	-0.413111	2.564559	60.149371	1294.304	17:52:18.686	2024-03-16
0.460	0.012	-9.634	0.023449	0.048465	-0.085724	-0.413135	2.565489	60.149248	1294.318	17:52:18.700	2024-03-16
0.458	0.095	-9.768	-0.021056	0.042270	-0.047677	-0.413246	2.565540	60.148797	1294.332	17:52:18.714	2024-03-16
0.465	0.050	-9.784	-0.035496	0.056621	-0.014547	-0.413422	2.566073	60.149262	1294.346	17:52:18.728	2024-03-16
0.447	0.116	-9.716	-0.054264	0.038083	-0.034107	-0.413573	2.566868	60.150286	1294.360	17:52:18.742	2024-03-16
0.458	0.068	-9.793	-0.020449	0.029084	-0.024088	-0.413291	2.567087	60.150471	1294.374	17:52:18.756	2024-03-16
0.490	0.060	-9.818	-0.039465	0.043845	-0.001727	-0.413223	2.567210	60.150553	1294.388	17:52:18.770	2024-03-16
0.485	0.112	-9.841	-0.075567	0.054468	-0.014303	-0.413242	2.567296	60.150594	1294.402	17:52:18.784	2024-03-16
0.479	0.164	-9.865	-0.111670	0.065092	-0.026880	-0.413261	2.567381	60.150641	1294.416	17:52:18.798	2024-03-16
0.443	0.045	-9.791	0.022605	0.064806	-0.008066	-0.414105	2.567381	60.150935	1294.430	17:52:18.812	2024-03-16
0.447	0.079	-9.849	-0.011021	0.025224	-0.044720	-0.414626	2.566895	60.151058	1294.444	17:52:18.826	2024-03-16
0.476	0.030	-9.906	0.000576	0.044767	-0.044815	-0.414532	2.565778	60.150915	1294.458	17:52:18.840	2024-03-16
0.455	0.064	-9.768	-0.040382	0.036393	-0.025255	-0.414181	2.565398	60.150928	1294.472	17:52:18.854	2024-03-16
0.468	0.096	-9.605	0.033388	0.067328	-0.088180	-0.413520	2.565357	60.150641	1294.486	17:52:18.868	2024-03-16
0.421	0.155	-9.829	0.000203	0.037992	-0.060851	-0.412773	2.565531	60.150232	1294.500	17:52:18.882	2024-03-16
0.475	0.056	-9.765	-0.018832	0.075452	0.005719	-0.412895	2.565463	60.150423	1294.514	17:52:18.896	2024-03-16
0.446	0.033	-9.740	-0.056236	0.061652	0.008747	-0.413016	2.565395	60.150628	1294.528	17:52:18.910	2024-03-16
0.442	0.018	-9.735	-0.051116	0.041505	0.002387	-0.413138	2.565328	60.150812	1294.542	17:52:18.924	2024-03-16
0.438	0.004	-9.730	-0.045997	0.021358	-0.003972	-0.413259	2.565260	60.151024	1294.556	17:52:18.938	2024-03-16
0.434	-0.011	-9.725	-0.040877	0.001211	-0.010331	-0.413381	2.565192	60.151222	1294.570	17:52:18.952	2024-03-16
0.431	-0.025	-9.720	-0.035758	-0.018936	-0.016690	-0.413502	2.565124	60.151427	1294.584	17:52:18.966	2024-03-16
0.427	-0.040	-9.715	-0.030638	-0.039083	-0.023050	-0.413623	2.565057	60.151611	1294.598	17:52:18.980	2024-03-16
0.445	-0.013	-9.757	-0.025936	-0.013905	-0.014291	-0.413745	2.564989	60.151816	1294.612	17:52:18.994	2024-03-16
0.480	0.203	-9.969	-0.070040	-0.010469	-0.049761	-0.413237	2.564507	60.151584	1294.626	17:52:19.008	2024-03-16
0.456	0.043	-9.782	0.116406	0.133766	-0.023791	-0.412318	2.563845	60.151113	1294.640	17:52:19.022	2024-03-16
0.440	0.077	-9.734	0.054467	0.063026	-0.034001	-0.411755	2.563972	60.150928	1294.654	17:52:19.036	2024-03-16
0.536	-0.036	-9.863	-0.012142	0.074134	-0.101156	-0.412416	2.563555	60.150682	1294.668	17:52:19.050	2024-03-16
0.438	0.037	-9.795	-0.030283	0.046316	-0.035082	-0.413043	2.563074	60.150498	1294.682	17:52:19.064	2024-03-16
0.477	0.111	-9.660	-0.010261	0.028207	-0.030836	-0.412366	2.562975	60.150573	1294.696	17:52:19.078	2024-03-16
0.457	0.183	-9.840	-0.016257	-0.033636	-0.033522	-0.411520	2.563206	60.150293	1294.710	17:52:19.092	2024-03-16
0.516	0.037	-9.854	0.007700	0.041739	-0.085357	-0.410993	2.563431	60.150239	1294.724	17:52:19.106	2024-03-16
0.505	0.061	-9.818	-0.032990	0.065075	-0.076182	-0.410931	2.563574	60.150628	1294.738	17:52:19.120	2024-03-16
0.479	0.069	-9.772	-0.008531	0.068433	-0.036366	-0.410869	2.563719	60.150997	1294.752	17:52:19.134	2024-03-16
0.454	0.078	-9.727	0.015929	0.071792	0.003449	-0.410806	2.563862	60.151372	1294.766	17:52:19.148	2024-03-16
0.482	0.142	-9.727	-0.015573	-0.002202	-0.016773	-0.410747	2.563965	60.151639	1294.780	17:52:19.162	2024-03-16
0.494	0.089	-9.895	0.057614	0.044633	-0.024441	-0.410703	2.563823	60.151236	1294.794	17:52:19.176	2024-03-16
0.412	0.036	-9.745	-0.023836	0.087025	-0.033317	-0.411041	2.563785	60.151393	1294.808	17:52:19.190	2024-03-16
0.476	-0.019	-9.794	0.004606	0.039424	-0.028758	-0.411173	2.563637	60.151598	1294.822	17:52:19.204	2024-03-16
0.444	0.160	-9.923	-0.056569	0.015116	-0.007770	-0.410410	2.563116	60.151427	1294.836	17:52:19.218	2024-03-16
0.473	0.059	-9.758	0.033514	0.063271	-0.072932	-0.410283	2.563085	60.151072	1294.850	17:52:19.232	2024-03-16
0.428	0.151	-9.685	0.027656	0.043370	-0.062129	-0.410178	2.563443	60.150669	1294.864	17:52:19.246	2024-03-16
0.484	0.004	-9.778	0.039450	0.049703	-0.077507	-0.409959	2.564211	60.150218	1294.878	17:52:19.260	2024-03-16
0.476	0.015	-9.796	0.032755	0.057842	-0.077310	-0.409613	2.564342	60.150252	1294.892	17:52:19.274	2024-03-16
0.467	0.027	-9.814	0.026060	0.065982	-0.077113	-0.409268	2.564472	60.150266	1294.906	17:52:19.288	2024-03-16
0.458	0.039	-9.832	0.019365	0.074122	-0.076916	-0.408922	2.564603	60.150293	1294.920	17:52:19.302	2024-03-16
0.449	0.050	-9.851	0.012669	0.082261	-0.076719	-0.408576	2.564733	60.150327	1294.934	17:52:19.316	2024-03-16
0.440	0.062	-9.869	0.005974	0.090401	-0.076522	-0.408230	2.564863	60.150341	1294.948	17:52:19.330	2024-03-16
0.431	0.073	-9.887	-0.000721	0.098541	-0.076325	-0.407884	2.564994	60.150375	1294.962	17:52:19.344	2024-03-16
0.458	0.063	-9.759	0.032915	0.090650	-0.095039	-0.407538	2.565124	60.150402	1294.976	17:52:19.358	2024-03-16
0.431	0.132	-9.696	-0.054661	0.062657	0.014116	-0.407646	2.565145	60.150805	1294.990	17:52:19.372	2024-03-16
0.450	0.083	-9.806	-0.013858	0.028853	-0.045511	-0.408367	2.564928	60.150983	1295.004	17:52:19.386	2024-03-16
0.459	0.083	-9.799	-0.076382	0.025458	-0.038035	-0.409804	2.564417	60.150792	1295.018	17:52:19.400	2024-03-16
0.435	0.031	-9.694	0.047967	0.068438	-0.076465	-0.408619	2.564928	60.150218	1295.032	17:52:19.414	2024-03-16
0.469	0.119	-9.849	-0.047357	0.001022	-0.067628	-0.408004	2.564403	60.151161	1295.046	17:52:19.428	2024-03-16
0.461	0.044	-9.824	0.003581	0.017722	-0.071561	-0.407986	2.563236	60.152930	1295.060	17:52:19.442	2024-03-16
0.454	0.112	-9.877	0.003587	0.050322	-0.019718	-0.408989	2.562870	60.152943	1295.074	17:52:19.456	2024-03-16
0.473	-0.014	-9.893	0.012923	0.063378	-0.035973	-0.408962	2.562986	60.152902	1295.088	17:52:19.470	2024-03-16
0.473	0.031	-9.793	-0.051016	0.066957	-0.016996	-0.408523	2.563294	60.152854	1295.102	17:52:19.484	2024-03-16
0.438	0.119	-9.816	-0.067518	0.053457	-0.061423	-0.408085	2.563603	60.152793	1295.116	17:52:19.498	2024-03-16
0.425	0.173	-9.834	-0.052199	0.056162	-0.085365	-0.407646	2.563912	60.152738	1295.130	17:52:19.512	2024-03-16
0.473	0.057	-9.768	0.009885	0.075903	-0.043266	-0.407520	2.564246	60.153517	1295.144	17:52:19.526	2024-03-16
0.392	0.083	-9.707	0.034607	0.023629	-0.075100	-0.407811	2.564615	60.155436	1295.158	17:52:19.540	2024-03-16
0.475	0.046	-9.801	-0.045649	0.034864	0.014809	-0.408952	2.564043	60.155819	1295.172	17:52:19.554	2024-03-16
0.478	0.093	-9.793	0.060180	0.077810	-0.063965	-0.408706	2.564117	60.155511	1295.186	17:52:19.568	2024-03-16
0.471	0.114	-9.707	0.012887	0.113759	-0.064542	-0.407533	2.564733	60.154842	1295.200	17:52:19.582	2024-03-16
0.434	0.097	-9.743	0.025533	0.070162	-0.029796	-0.407052	2.565702	60.155026	1295.214	17:52:19.596	2024-03-16
0.490	0.076	-9.787	-0.134792	0.041849	-0.039677	-0.407676	2.566011	60.155190	1295.228	17:52:19.610	2024-03-16
0.435	-0.043	-9.823	0.004062	0.032128	-0.041890	-0.408484	2.565936	60.155416	1295.242	17:52:19.624	2024-03-16
0.438	-0.037	-9.802	0.009498	0.033492	-0.039735	-0.408641	2.565561	60.155942	1295.256	17:52:19.638	2024-03-16
0.442	-0.032	-9.782	0.014935	0.034855	-0.037581	-0.408799	2.565187	60.156447	1295.270	17:52:19.652	2024-03-16
0.446	-0.026	-9.761	0.020372	0.036218	-0.035426	-0.408957	2.564812	60.156980	1295.284	17:52:19.666	2024-03-16
0.449	-0.021	-9.740	0.025808	0.037582	-0.033271	-0.409115	2.564437	60.157492	1295.298	17:52:19.680	2024-03-16
0.453	-0.015	-9.720	0.031245	0.038945	-0.031117	-0.409272	2.564062	60.158018	1295.312	17:52:19.694	2024-03-16
