Time,Alpha_L1i,Alpha_L1o,Alpha_L2i,Alpha_L2o,Alpha_L3i,Alpha_L3o,Alpha_L4i,Alpha_L4o,Alpha_R1i,Alpha_R1o,Alpha_R2i,Alpha_R2o,Alpha_R3i,Alpha_R3o,Alpha_R4i,Alpha_R4o,AVz,AVz_2,Ay,Ay_2,Bk_Stat,Fx_L1,Fx_L2,Fx_R1,Fx_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L1i,Fz_L2,Fz_L2i,Fz_L2o,Fz_R1,Fz_R1i,Fz_R2,Fz_R2i,Fz_R2o,GearStat,Lat_Targ,Lat_Veh,Pitch,PitchGL1,PitchGL2,PitchGR1,PitchGR2,PitchO1,Pitch_2,Pitch_A2,Pitch_A3,Pitch_A4,Roll,RollGL1,RollGL2,RollGR1,RollGR2,RollO_1,Roll_2,Roll_A2,Roll_A3,Roll_A4,Roll_E,Roll_E_2,Roll_L1,Roll_L2,Roll_L3,Roll_L4,Roll_R1,Roll_R2,Roll_R3,Roll_R4,Rot_L1,Rot_L2,Rot_L3,Rot_L4,Rot_R1,Rot_R2,Rot_R3,Rot_R4,Station,Steer_L1,Steer_L2,Steer_R1,Steer_R2,Steer_SW,VisO_1,Vx,VxTarget,Vxz_Fwd,Vx_2,Xctc_L1o,Xctc_L2o,Xctc_R1o,Xctc_R2o,Xo,Xo_2,X_A2,X_A3,X_A4,X_L1,X_L2,X_L3,X_L4,X_Obj_1,X_R1,X_R2,X_R3,X_R4,Yaw,YawO_1,Yaw_2,Yaw_L1,Yaw_L2,Yaw_L3,Yaw_L4,Yaw_R1,Yaw_R2,Yaw_R3,Yaw_R4,Yctc_L1o,Yctc_L2o,Yctc_R1o,Yctc_R2o,Yo,Yo_2,Y_A2,Y_A3,Y_A4,Y_L1,Y_L2,Y_L3,Y_L4,Y_Obj_1,Y_R1,Y_R2,Y_R3,Y_R4,Zgnd_L1o,Zgnd_L2o,Zgnd_R1o,Zgnd_R2o,Zo,Zo_2,Z_A2,Z_A3,Z_A4,Z_L1,Z_L2,Z_L3,Z_L4,Z_Obj_1,Z_R1,Z_R2,Z_R3,Z_R4
            0, 2.25947891565e-17,             0,             0,             0,             0,             0,             0,             0, -1.25895599623e-14,             0,             0,             0,             0,             0,             0,             0,             0,             0, -5.49179296594e-20,             0,             0, -1.99435589571e-11,             0, -1.99425354702e-11,             0, 2.12981921283e-19,             0, -1.27797543483e-19,             0, 9909.79003906, 9909.79003906, 18063.2460938, 9031.62304688, 9031.62304688, 9909.79003906, 9909.79003906, 18063.2460938, 9031.62304688, 9031.62304688,             1,             0,             0, -0.577863633633,             0,             0,             0,             0,             0, 0.154330611229, -0.577863633633, 0.154330611229, 0.154330611229,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -2.2402210922e-15,             0,             0,             0, 1.34428977993e-15,             0,             0,             0, -0.00160517671611, -0.00160517671611, 0.000428696133895, 0.000428696133895, -0.00160517671611, -0.00160517671611, 0.000428696133895, 0.000428696133895,             0, 2.25400894833e-32,             0, 1.2575361996e-14,             0,             0,             1,            70,            70,            70,            70, -0.0040341806598, -3.37191748619, -0.0040341806598, -3.37191748619,             0, -3.40387105942, -3.37191748619, -9.29783630371, -10.1128330231, -0.0040341806598, -3.37191748619, -9.29783630371, -10.1128330231, 11.6666669846, -0.0040341806598, -3.37191748619, -9.29783630371, -10.1128330231,             0,             0,             0, 3.1804071231e-15,             0,             0,             0, 1.29539679358e-14,             0,             0,             0,         0.875, 1.09500002861,        -0.875, -1.09500002861,             0,             0,             0, 5.31699984742e-21, 5.31699984742e-21,         0.875, 0.949999988079, 1.20000004768, 1.20000004768,             0,        -0.875, -0.949999988079, -1.20000004768, -1.20000004768,             0,             0,             0,             0, -0.0177202746272, -0.0469619296491, 0.384008705616, 0.345168501139, 0.347363770008, 0.382259368896, 0.384008705616, 0.345168501139, 0.347363770008,             0, 0.382259368896, 0.384008705616, 0.345168501139, 0.347363770008
        0.025, -0.000863344816025,             0, 2.40225770091e-16, 2.40225770091e-16, -3.37867281328e-16,             0, 4.90893180021e-17,             0, 0.000863344816025,             0, 2.40225770091e-16, 2.40225770091e-16, -3.37867281328e-16,             0, 4.90893180021e-17,             0, 8.26554354111e-18, -9.81415981651e-17, 6.48290604174e-18, -2.82272282106e-18,             0, -72.2482070923, -181.309448242, -72.2482070923, -181.309448242, 0.43699836731, -4.14403998313e-13, -0.43699836731, -4.14403998313e-13, 9891.05175781, 9891.05175781, 18587.7070312, 9293.85351562, 9293.85351562, 9891.05175781, 9891.05175781, 18587.7070312, 9293.85351562, 9293.85351562,             1,             0, 1.56977813006e-19, -0.592837333679,             0,             0,             0,             0,             0, 0.137775093317, -0.592837333679, 0.137775093317, 0.137775093317, 8.27352500684e-18,             0,             0,             0,             0,             0, -4.56263850975e-18, 2.98273520302e-16, -1.16431454864e-16, -2.26225356893e-18, 8.27396754847e-18, -4.56265174464e-18, -0.000959682220127, 2.98257559025e-16, -1.16431110757e-16, -2.26224695149e-18, 0.000959682220127, 2.98257559025e-16, -1.16431110757e-16, -2.26224695149e-18, 0.195153072476, 0.195180699229, 0.221382558346, 0.221384942532, 0.195153072476, 0.195180699229, 0.221382558346, 0.221384942532, 0.48619633913, -0.000125777951325,             0, 0.000125777951325,             0, -1.16371581877e-17,             1, 69.9727783203,            70, 69.9647064209, 70.0012741089, 0.482059180737, -2.88574409485, 0.482059180737, -2.88574409485, 0.48619633913, -2.91763424873, -2.88574409485, -8.81171035767, -9.62670993805, 0.482059180737, -2.88574409485, -8.81171035767, -9.62670993805, 12.1469812393, 0.482059180737, -2.88574409485, -8.81171035767, -9.62670993805, -8.44019748003e-20,             0, -6.90547642755e-19, -0.000135714828502, 3.0017681326e-18, -4.10573475185e-19, -6.85107792854e-19, 0.000135714828502, 3.0017681326e-18, -4.10573475185e-19, -6.85107792854e-19, 0.874995291233, 1.09500002861, -0.874995291233, -1.09500002861, 1.56977813006e-19, -8.18096941581e-20, -3.15130509249e-21, -3.32358068197e-19, 4.17103465123e-20, 0.87500166893, 0.949999988079, 1.20000004768, 1.20000004768,             0, -0.87500166893, -0.949999988079, -1.20000004768, -1.20000004768,             0,             0,             0,             0, -0.0176405273378, -0.0476309433579, 0.383486360312, 0.343735069036, 0.344837248325, 0.382296711206, 0.383486360312, 0.343735069036, 0.344837248325,             0, 0.382296711206, 0.383486360312, 0.343735069036, 0.344837248325
         0.05, -0.00191413937137,             0, 4.18354760726e-16, 4.18354760726e-16, -2.85876799174e-19,             0, -7.69695596622e-17,             0, 0.00191413937137,             0, 4.18354760726e-16, 4.18354760726e-16, -2.85876799174e-19,             0, -7.69695596622e-17,             0, 2.00201729563e-16, -3.24744524131e-17, 4.88248286556e-17, -1.82299957056e-18,             0, -74.117225647, -176.399932861, -74.117225647, -176.399932861, 1.43641352654, 1.5884967224e-13, -1.43641352654, 1.5884967224e-13, 9850.29492188, 9850.29492188,  19854.140625,  9927.0703125,  9927.0703125, 9850.29492188, 9850.29492188,  19854.140625,  9927.0703125,  9927.0703125,             1,             0, 3.85282763998e-19, -0.638148784637,             0,             0,             0,             0,             0, 0.0962752476335, -0.638148784637, 0.0962752476335, 0.0962752476335, 7.48701603783e-18,             0,             0,             0,             0,             0, -2.3706177447e-17, -1.24079394754e-16, -1.16480437191e-16, -1.04356113463e-17, 7.48748008615e-18, -2.37062105342e-17, -0.00389601173811, -1.24071692048e-16, -1.16480278372e-16, -1.0435596457e-17, 0.00389601173811, -1.24071692048e-16, -1.16480278372e-16, -1.0435596457e-17, 0.39190351963, 0.392052084208, 0.442318588495, 0.442320913076, 0.39190351963, 0.392052084208, 0.442318588495, 0.442320913076, 0.972645521164, -0.000472887099022,             0, 0.000472887099022,             0, -8.25716039648e-17,             1, 69.9658279419,            70, 69.9489212036, 69.9978485107, 0.968192577362, -2.39926457405, 0.968192577362, -2.39926457405, 0.972645521164, -2.43122768402, -2.39926457405, -8.32558345795,  -9.140583992, 0.968192577362, -2.39926457405, -8.32558345795,  -9.140583992, 12.6307992935, 0.968192577362, -2.39926457405, -8.32558345795,  -9.140583992, 2.98048601621e-18,             0, -2.85386513715e-18, -0.000516311207321, 1.59854349096e-18, -2.65814076254e-18, -2.83632994214e-18, 0.000516311207321, 1.59854349096e-18, -2.65814076254e-18, -2.83632994214e-18, 0.874980807304, 1.09500002861, -0.874980807304, -1.09500002861, 3.85282763998e-19, -3.87403138101e-19, 2.01581937801e-19, -2.25597175257e-19, 1.50534773968e-19, 0.87500679493, 0.949999988079, 1.20000004768, 1.20000004768,             0, -0.87500679493, -0.949999988079, -1.20000004768, -1.20000004768,             0,             0,             0,             0, -0.0174293685704, -0.0501022078097, 0.382224947214, 0.338394522667, 0.338507473469, 0.382377892733, 0.382224947214, 0.338394522667, 0.338507473469,             0, 0.382377892733, 0.382224947214, 0.338394522667, 0.338507473469
        0.075, -0.0023751235567,             0, 7.3369054214e-17, 7.3369054214e-17, 3.16056480721e-17,             0, 2.0841634773e-16,             0, 0.0023751235567,             0, 7.3369054214e-17, 7.3369054214e-17, 3.16056480721e-17,             0, 2.0841634773e-16,             0, 6.79219838535e-16, -8.6969445349e-17, -1.79158089343e-17, 8.105602793e-19,             0, -82.5650177002, -225.269226074, -82.5650177002, -225.269226074,  2.7142996788, -7.96406601149e-14, -2.7142996788, -7.96406601149e-14, 9821.26464844, 9821.26464844, 21851.9316406, 10925.9658203, 10925.9658203, 9821.26464844, 9821.26464844, 21851.9316406, 10925.9658203, 10925.9658203,             1,             0, 9.88963078298e-19, -0.724204957485,             0,             0,             0,             0,             0, 0.0461423248053, -0.724204957485, 0.0461423248053, 0.0461423248053, 9.68658606674e-18,             0,             0,             0,             0,             0, -3.65576673795e-17, 3.20932147949e-17, -9.88975072417e-18, 3.69182982743e-17, 9.68736030779e-18, -3.65576806144e-17, -0.00921057537198, 3.20906538437e-17, -9.88974824263e-18, 3.69182883481e-17, 0.00921057537198, 3.20906538437e-17, -9.88974824263e-18, 3.69182883481e-17, 0.588759183884, 0.589204847813, 0.663228809834, 0.663231015205, 0.588759183884, 0.589204847813, 0.663228809834, 0.663231015205, 1.45968437195, -0.00110220606439,             0, 0.00110220606439,             0, -3.04123209245e-16,             1, 69.9979629517,            70, 69.9664916992, 69.9863510132, 1.45463180542, -1.91202104092, 1.45463180542, -1.91202104092, 1.45968437195, -1.94481372833, -1.91202104092, -7.83950471878, -8.65450572968, 1.45463180542, -1.91202104092, -7.83950471878, -8.65450572968, 13.1207666397, 1.45463180542, -1.91202104092, -7.83950471878, -8.65450572968, 1.30925237456e-17,             0, -5.32181577696e-18, -0.00121871975716, 1.3498164019e-17, -5.31385126843e-18, -5.35154754331e-18, 0.00121871975716, 1.3498164019e-17, -5.31385126843e-18, -5.35154754331e-18, 0.874954462051, 1.09500002861, -0.874954462051, -1.09500002861, 9.88963078298e-19, -6.7543944736e-19, 1.2953162424e-19, 2.03838512361e-19, 4.26394054032e-19, 0.87501591444, 0.949999988079, 1.20000004768, 1.20000004768,             0, -0.87501591444, -0.949999988079, -1.20000004768, -1.20000004768,             0,             0,             0,             0, -0.0171348452568, -0.0549479611218, 0.380235135555, 0.330964356661, 0.330455005169, 0.382435709238, 0.380235135555, 0.330964356661, 0.330455005169,             0, 0.382435709238, 0.380235135555, 0.330964356661, 0.330455005169
          0.1, -0.00173128116876,             0, -2.52697139099e-16, -2.52697139099e-16, 3.97056388582e-17,             0, 1.32173089041e-17,             0, 0.00173128116876,             0, -2.52697139099e-16, -2.52697139099e-16, 3.97056388582e-17,             0, 1.32173089041e-17,             0, 1.08565695157e-15, -4.21861318309e-17, -9.058613045e-17, 6.33381542173e-18,             0, -91.4701461792, -278.694610596, -91.4701461792, -278.694610596, 3.42133450508, -4.84221983257e-13, -3.42133450508, -4.84221983257e-13, 9806.35253906, 9806.35253906, 24135.3417969, 12067.6708984, 12067.6708984, 9806.35253906, 9806.35253906, 24135.3417969, 12067.6708984, 12067.6708984,             1,             0, 2.43408069565e-18, -0.863276183605,             0,             0,             0,             0,             0, 0.00927902851254, -0.863276183605, 0.00927902851254, 0.00927902851254, 4.84642176132e-17,             0,             0,             0,             0,             0, 6.92809464742e-19, 4.42670323784e-16, 9.37629010489e-17, 1.02572460599e-16, 4.84697200186e-17, 6.92809516441e-19, -0.0156732369214, 4.42620057673e-16, 9.37628944315e-17, 1.02572460599e-16, 0.0156732369214, 4.42620057673e-16, 9.37628944315e-17, 1.02572460599e-16, 0.785853624344, 0.786918401718, 0.884081125259, 0.884082913399, 0.785853624344, 0.786918401718, 0.884081125259, 0.884082913399, 1.94773471355, -0.0018749514129,             0, 0.0018749514129,             0, -7.84873963816e-16,             1, 70.0730209351,            70, 70.0205612183, 69.9659118652, 1.94171464443, -1.42329764366, 1.94171464443, -1.42329764366, 1.94773471355, -1.45860660076, -1.42329764366, -7.35354423523, -8.16854381561, 1.94171464443, -1.42329764366, -7.35354423523, -8.16854381561, 13.6178283691, 1.94171464443, -1.42329764366, -7.35354423523, -8.16854381561, 3.43789332031e-17,             0, -6.66102656536e-18, -0.00211133086123, 4.10484011466e-17, -6.67621153345e-18, -6.67763842001e-18, 0.00211133086123, 4.10484011466e-17, -6.67621153345e-18, -6.67763842001e-18, 0.874922156334, 1.09500002861, -0.874922156334, -1.09500002861, 2.43408069565e-18, -5.40747870459e-19, -1.6390059095e-19, 4.28940452e-19, 5.52037283158e-19, 0.875026762486, 0.949999988079, 1.20000004768, 1.20000004768,             0, -0.875026762486, -0.949999988079, -1.20000004768, -1.20000004768,             0,             0,             0,             0, -0.0168116744608, -0.062921769917, 0.377960801125, 0.323384582996, 0.322682350874, 0.382465422153, 0.377960801125, 0.323384582996, 0.322682350874,             0, 0.382465422153, 0.377960801125, 0.323384582996, 0.322682350874
        0.125, -0.000703107565641,             0, 1.69579450347e-16, 1.69579450347e-16, -1.41288642552e-16,             0, -3.85870491333e-16,             0, 0.000703107565641,             0, 1.69579450347e-16, 1.69579450347e-16, -1.41288642552e-16,             0, -3.85870491333e-16,             0, 9.89506006565e-16, -1.20000228836e-18, 1.81806159182e-16, -3.55321619433e-17,             0, -97.1111450195, -298.295074463, -97.1111450195, -298.295074463, 3.28324079514, -4.76895649706e-13, -3.28324079514, -4.76895649706e-13, 9794.94042969, 9794.94042969, 26557.6230469, 13278.8115234, 13278.8115234, 9794.94042969, 9794.94042969, 26557.6230469, 13278.8115234, 13278.8115234,             1,             0, 3.78988472714e-18, -1.06583940983,             0,             0,             0,             0,             0, 0.00673649460077, -1.06583940983, 0.00673649460077, 0.00673649460077, 8.07308954913e-17,             0,             0,             0,             0,             0, 7.02301618697e-17, 5.44539005884e-16, 5.08525328871e-17, 1.74506641001e-16, 8.07448649174e-17, 7.02301618697e-17, -0.0221316665411, 5.44444826408e-16, 5.08525328871e-17, 1.74506641001e-16, 0.0221316665411, 5.44444826408e-16, 5.08525328871e-17, 1.74506641001e-16, 0.983311295509, 0.985438406467, 1.10485494137, 1.10485613346, 0.983311295509, 0.985438406467, 1.10485494137, 1.10485613346, 2.43717002869, -0.00265846843831,             0, 0.00265846843831,             0, -1.31100159686e-15,             1, 70.1787719727,            70, 70.1042175293,  69.938949585, 2.42974233627, -0.932523787022, 2.42974233627, -0.932523787022, 2.43717002869, -0.972804784775, -0.932523787022, -6.86775875092, -7.68275880814, 2.42974233627, -0.932523787022, -6.86775875092, -7.68275880814, 14.1212062836, 2.42974233627, -0.932523787022, -6.86775875092, -7.68275880814, 5.88007889704e-17,             0, -3.85560215885e-18, -0.0030706783291, 6.89299398259e-17, -3.86158102032e-18, -3.87611954677e-18, 0.0030706783291, 6.89299398259e-17, -3.86158102032e-18, -3.87611954677e-18, 0.874889671803, 1.09500002861, -0.874889671803, -1.09500002861, 3.78988472714e-18, 1.15900178883e-19, -6.09182745584e-19, -1.83127948694e-20, 4.03387550409e-19, 0.875037431717, 0.949999988079, 1.20000004768, 1.20000004768,             0, -0.875037431717, -0.949999988079, -1.20000004768, -1.20000004768,             0,             0,             0,             0, -0.016484213993, -0.0746739059687, 0.375548183918, 0.316786289215, 0.316353112459, 0.382488131523, 0.375548183918, 0.316786289215, 0.316353112459,             0, 0.382488131523, 0.375548183918, 0.316786289215, 0.316353112459
         0.15, 3.66884305549e-05,             0, 2.06090742672e-17, 2.06090742672e-17, -7.92678975378e-17,             0, 7.10873883291e-16,             0, -3.66884305549e-05,             0, 2.06090742672e-17, 2.06090742672e-17, -7.92678975378e-17,             0, 7.10873883291e-16,             0, 1.23411546333e-15, 3.90647465988e-16, 6.22639774738e-18, 1.41568208506e-18,             0, -96.8880386353, -303.764434814, -96.8880386353, -303.764434814, 2.74795007706, 1.12810000057e-12, -2.74795007706, 1.12810000057e-12, 9777.77539062, 9777.77539062, 29660.2519531, 14830.1259766, 14830.1259766, 9777.77539062, 9777.77539062, 29660.2519531, 14830.1259766, 14830.1259766,             1,             0, 5.10161740277e-18, -1.33719348907,             0,             0,             0,             0,             0, 0.0536401979625, -1.33719348907, 0.0536401979625, 0.0536401979625, 9.37179884504e-17,             0,             0,             0,             0,             0, 1.26419812961e-16, -3.42708418728e-16, 2.96722285338e-16, 1.92964137431e-16, 9.37435119354e-17, 1.26419865901e-16, -0.0286908205599, -3.42615086285e-16, 2.96722152989e-16, 1.92964044787e-16, 0.0286908205599, -3.42615086285e-16, 2.96722152989e-16, 1.92964044787e-16, 1.18120956421, 1.18480348587,  1.3255469799,   1.325548172, 1.18120956421, 1.18480348587,  1.3255469799,   1.325548172, 2.92819786072, -0.00346787762828,             0, 0.00346787762828,             0, -1.87212153738e-15,             1, 70.2937927246,            70, 70.2008666992, 69.9095230103, 2.91888689995, -0.439648538828, 2.91888689995, -0.439648538828, 2.92819786072, -0.487545132637, -0.439648538828, -6.38217115402, -7.19717168808, 2.91888689995, -0.439648538828, -6.38217115402, -7.19717168808, 14.6283426285, 2.91888689995, -0.439648538828, -6.38217115402, -7.19717168808, 8.55244534631e-17,             0, -1.26122347646e-18, -0.00413854280487, 7.7526900724e-17, -1.53901430081e-18, -1.44187610333e-18, 0.00413854280487, 7.7526900724e-17, -1.53901430081e-18, -1.44187610333e-18, 0.874856472015, 1.09500002861, -0.874856472015, -1.09500002861, 5.10161740277e-18, 6.11224692625e-19, -2.57940841936e-19, 3.57423993052e-19, 8.09978228492e-20, 0.875047981739, 0.949999988079, 1.20000004768, 1.20000004768,             0, -0.875047981739, -0.949999988079, -1.20000004768, -1.20000004768,             0,             0,             0,             0, -0.0161237474531, -0.0905039533973, 0.372457921505, 0.311517089605, 0.311767905951, 0.382522314787, 0.372457921505, 0.311517089605, 0.311767905951,             0, 0.382522314787, 0.372457921505, 0.311517089605, 0.311767905951
        0.175, 0.000128733445308,             0, 4.3878445426e-16, 4.3878445426e-16, -1.72293714486e-16,             0, -2.09553502696e-16,             0, -0.000128733445308,             0, 4.3878445426e-16, 4.3878445426e-16, -1.72293714486e-16,             0, -2.09553502696e-16,             0, -6.91050638877e-17, -1.71791119546e-17, -5.71079497847e-18, 1.18892133552e-17,             0, -89.8243255615, -300.036956787, -89.8243255615, -300.036956787, 2.43499970436, 8.0638718359e-13, -2.43499970436, 8.0638718359e-13, 9745.22851562, 9745.22851562,         33579,       16789.5,       16789.5, 9745.22851562, 9745.22851562,         33579,       16789.5,       16789.5,             1,             0, 6.35211803355e-18, -1.67404329777,             0,             0,             0,             0,             0, 0.155732467771, -1.67404329777, 0.155732467771, 0.155732467771, 9.40798568073e-17,             0,             0,             0,             0,             0, 1.2044981887e-16, -3.71809850288e-16, 1.97310356128e-16, -1.45517136904e-16, 9.41200313153e-17, 1.20450268856e-16, -0.0364847891033, -3.71651163959e-16, 1.97309628209e-16, -1.45516607509e-16, 0.0364847891033, -3.71651163959e-16, 1.97309628209e-16, -1.45516607509e-16, 1.37954723835, 1.38492059708, 1.54617094994, 1.54617238045, 1.37954723835, 1.38492059708, 1.54617094994, 1.54617238045, 3.42076015472, -0.00444281287491,             0, 0.00444281287491,             0, -2.25057501118e-15,             1,  70.395652771,            70, 70.2883377075, 69.8821182251, 3.40911579132, 0.0550963357091, 3.40911579132, 0.0550963357091, 3.42076015472, -0.00287985568866, 0.0550963357091, -5.89676570892, -6.71176528931, 3.40911579132, 0.0550963357091, -5.89676570892, -6.71176528931, 15.1354827881, 3.40911579132, 0.0550963357091, -5.89676570892, -6.71176528931, 1.01778711318e-16,             0, 2.47733169514e-18, -0.00551101053134, 9.09168769636e-17, 1.94103410807e-18, 2.87285327491e-18, 0.00551101053134, 9.09168769636e-17, 1.94103410807e-18, 2.87285327491e-18, 0.874816715717, 1.09500002861, -0.874816715717, -1.09500002861, 6.35211803355e-18, 7.63687934793e-19, 1.40226694744e-19, -1.18496504956e-19, -1.10251698522e-18, 0.875060319901, 0.949999988079, 1.20000004768, 1.20000004768,             0, -0.875060319901, -0.949999988079, -1.20000004768, -1.20000004768, -5.55111512313e-17,             0, -5.55111512313e-17,             0, -0.0156550630927, -0.110156029463, 0.368554770947, 0.307724863291, 0.308947592974, 0.382587105036, 0.368554770947, 0.307724863291, 0.308947592974,             0, 0.382587105036, 0.368554770947, 0.307724863291, 0.308947592974
          0.2, -0.00451545789838,             0, -1.03193155755e-15, -1.03193155755e-15, 2.77288808429e-16,             0, 1.34860019825e-16,             0, 0.00451545789838,             0, -1.03193155755e-15, -1.03193155755e-15, 2.77288808429e-16,             0, 1.34860019825e-16,             0, 7.92520765505e-16, 1.42995612465e-16, -6.61866303968e-16, 1.22267167763e-16,             0, 6.80238485336, 1031.38024902, 6.80238485336, 1031.38024902, 4.67311286926, 1.86216168353e-13, -4.67311286926, 1.86216168353e-13, 9680.69921875, 9680.69921875, 44612.3867188, 22306.1933594, 22306.1933594, 9680.69921875, 9680.69921875, 44612.3867188, 22306.1933594, 22306.1933594,             1,             0, 7.78650008733e-18, -2.05227017403,             0,             0,             0,             0,             0, 0.299714058638, -2.05227017403, 0.299714058638, 0.299714058638, 1.1705765044e-16,             0,             0,             0,             0,             0, 4.37275597413e-17, -1.12410840926e-16, 2.53974782421e-16, -1.19301546596e-16, 1.17132784909e-16, 4.37281586201e-17, -0.048984028399, -1.12338737246e-16, 2.5397131488e-16, -1.1929990547e-16, 0.048984028399, -1.12338737246e-16, 2.5397131488e-16, -1.1929990547e-16, 1.57823479176, 1.58508741856, 1.76675379276, 1.76675474644, 1.57823479176, 1.58508741856, 1.76675379276, 1.76675474644, 3.91440200806, -0.00604768795893,             0, 0.00604768795893,             0, -2.36079962037e-15,             1, 70.3153915405,            70, 70.2895889282, 69.8918457031, 3.90015077591, 0.54944306612, 3.90015077591, 0.54944306612, 3.91440200806, 0.481325745583, 0.54944306612, -5.41146707535, -6.22646665573, 3.90015101433, 0.54944306612, -5.41146707535, -6.22646665573, 15.6293334961, 3.90015101433, 0.54944306612, -5.41146707535, -6.22646665573, 1.01270246705e-16,             0, 3.50881165012e-18, -0.00780687341467, 9.72446763007e-17, 2.18027645471e-18, 4.13287475454e-18, 0.00780687341467, 9.72446763007e-17, 2.18027645471e-18, 4.13287475454e-18, 0.874752342701, 1.09500002861, -0.874752342701, -1.09500002861, 7.78650008733e-18, 2.08351467611e-19, 1.13196699317e-18, 1.05705688359e-19, -9.48291227964e-19, 0.875079572201, 0.949999988079, 1.20000004768, 1.20000004768,             0, -0.875079572201, -0.949999988079, -1.20000004768, -1.20000004768, -5.55111512313e-17,             0, -5.55111512313e-17,             0, -0.0148893287405, -0.132033675909, 0.35756534338, 0.305327355862, 0.307569354773, 0.38271561265, 0.35756534338, 0.305327355862, 0.307569354773,             0, 0.38271561265, 0.35756534338, 0.305327355862, 0.307569354773
        0.225, -0.00680292118341,             0, -1.26401053829e-15, -1.26401053829e-15, 1.1741076888e-17,             0, 1.70266804348e-16,             0, 0.00680292118341,             0, -1.26401053829e-15, -1.26401053829e-15, 1.1741076888e-17,             0, 1.70266804348e-16,             0, 2.52170866941e-16, -3.28597405692e-16, -3.70369047245e-16, 7.95067542115e-17,             0, 124.063865662, 923.439941406, 124.063865662, 923.439941406, 6.23862457275, 8.71362172954e-13, -6.23862457275, 8.71362172954e-13,  9524.3984375,  9524.3984375,  62248.203125, 31124.1015625, 31124.1015625,  9524.3984375,  9524.3984375,  62248.203125, 31124.1015625, 31124.1015625,             1,             0, 7.77462673681e-18, -2.40453577042,             0,             0,             0,             0,             0, 0.438283234835, -2.40453577042, 0.438283234835, 0.438283234835, 2.80402382429e-17,             0,             0,             0,             0,             0, 1.12641392706e-16, -2.16908104489e-16, 3.57340171738e-16, -1.04311478797e-16, 2.80649477822e-17, 1.12644688194e-16, -0.069551050663, -2.16717111794e-16, 3.57329716175e-16, -1.04308428155e-16, 0.069551050663, -2.16717111794e-16, 3.57329716175e-16, -1.04308428155e-16, 1.77680015564, 1.78377115726, 1.98736107349, 1.98736035824, 1.77680015564, 1.78377115726, 1.98736107349, 1.98736035824, 4.40736961365, -0.00870322342962,             0, 0.00870322342962,             0, -2.83694161573e-15,             1, 70.2141113281,            70, 70.1750411987, 69.9008483887,  4.3907122612, 1.04079580307,  4.3907122612, 1.04079580307, 4.40736961365, 0.965586423874, 1.04079580307, -4.92610168457, -5.74110460281,  4.3907122612, 1.04079580307, -4.92610168457, -5.74110460281, 16.1032085419,  4.3907122612, 1.04079580307, -4.92610168457, -5.74110460281, 1.29371855132e-16,             0, 1.52619091268e-17, -0.0116314636543, 1.2027153167e-16, 1.25284668044e-17, 1.60598290524e-17, 0.0116314636543, 1.2027153167e-16, 1.25284668044e-17, 1.60598290524e-17, 0.874644339085, 1.09500002861, -0.874644339085, -1.09500002861, 7.77462673681e-18, 1.59468707155e-18, 3.00967184336e-19, -1.37436937655e-19, -1.56611387505e-18, 0.875109314919, 0.949999988079, 1.20000004768, 1.20000004768,             0, -0.875109314919, -0.949999988079, -1.20000004768, -1.20000004768,             0,             0,             0,             0, -0.0135682160035, -0.151904597878, 0.33999979496, 0.303599148989, 0.306349426508,  0.3830268085, 0.33999979496, 0.303599148989, 0.306349426508,             0,  0.3830268085, 0.33999979496, 0.303599148989, 0.306349426508
