Time,Alpha_L1i,Alpha_L1o,Alpha_L2i,Alpha_L2o,Alpha_R1i,Alpha_R1o,Alpha_R2i,Alpha_R2o,AVz,Ay,Bk_Stat,Fx_L1,Fx_L2,Fx_R1,Fx_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L1i,Fz_L2,Fz_L2i,Fz_L2o,Fz_R1,Fz_R1i,Fz_R2,Fz_R2i,Fz_R2o,Lat_Targ,Lat_Veh,Pitch,PitchGL1,PitchGL2,PitchGR1,PitchGR2,Pitch_A1,Pitch_A2,Roll,RollGL1,RollGL2,RollGR1,RollGR2,Roll_A1,Roll_A2,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Station,Steer_L1,Steer_L2,Steer_R1,Steer_R2,Steer_SW,Vx,VxTarget,Vxz_Fwd,Xctc_L1o,Xctc_L2o,Xctc_R1o,Xctc_R2o,Xo,X_A1,X_A2,X_L1,X_L2,X_R1,X_R2,Yaw,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yctc_L1o,Yctc_L2o,Yctc_R1o,Yctc_R2o,Yo,Y_A1,Y_A2,Y_L1,Y_L2,Y_R1,Y_R2,Zgnd_L1o,Zgnd_L2o,Zgnd_R1o,Zgnd_R2o,Zo,Z_A1,Z_A2,Z_L1,Z_L2,Z_R1,Z_R2
0, -0, 0, 0, 0, -0, 0, 0, 0, 0, -6.816618644111e-33, 0, 3.786857173214e-11, 0, 3.786857173214e-11, 0, 0, -0, 0, -0, 19050.99150209, 19050.99150209, 10575.96181522, 5287.98090761, 5287.98090761, 19050.99150209, 19050.99150209, 10575.96181522, 5287.98090761, 5287.98090761, 0, 0, -0.06825186537218, -0, -0, -0, -0, -0.06825186537218, -0.06825186537218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -0, -0, -0.0001895885149227, -0.0001895885149227, -0.0001895885149227, -0.0001895885149227, 0, 0, 0, -0, 0, 0, 70, 70, 70, -0.0006075219397205, -5.000627798819, -0.0006075219397205, -5.000627798819, 0, -0.0006075219397205, -5.000627798819, -0.0006075219397205, -5.000627798819, -0.0006075219397205, -5.000627798819, 0, 1.602653226532e-15, 0, -1.602653226532e-15, 0, 1.015, 1.0865, -1.015, -1.0865, 0, 4.2323e-22, 5.317e-21, 1.015, 0.9315, -1.015, -0.9315, -0, -0, -0, -0, -0.009439425400917, 0.500560212753, 0.5146041011147, 0.500560212753, 0.5146041011147, 0.500560212753, 0.5146041011147
0.025, 0.004389779662426, 0, 0.001236565859966, 0.00123656702542, -0.07946344309864, 0, 0.001236560021452, 0.001236558856011, 0.003368008148366, 0.002014121588969, 0, -102.6447945924, -51.16511046768, -102.681706087, -51.67007939199, -6.556318715569, -1.055463861995, 128.2562846973, -1.05614013043, 19031.70582463, 19031.70582463, 10599.66666091, 5300.188631571, 5299.478029339, 19069.85171109, 19069.85171109, 10608.20764129, 5303.748519531, 5304.459121764, 0, 8.410331871916e-06, -0.06849467625907, -0, -0, -0, -0, -0.07030431433988, -0.06849467625907, 0.0002646812065522, 0, 0, 0, 0, 0.001462919893523, 0.0001340175705737, 0.0002646813956828, 0.001629810262909, 0.0001340174748102, -0.006097692615827, 0.0001340174748102, 0.1514276341599, 0.1514594875798, 0.1514264278709, 0.1514595810168, 0.4860508662557, -0.001809467725858, 0, 0.08205288830134, 0, -0.001713790511854, 69.98078865043, 70, 69.980622759, 0.485443760166, -4.514579761221, 0.4855850324299, -4.514578579133, 0.4860508662557, 0.4854411822451, -4.514579170176, 0.4854437597245, -4.514579676902, 0.4855849561202, -4.514578663451, 3.100804388303e-05, -0.001776512605139, 3.116825617094e-05, 0.08207666540714, 3.116825617094e-05, 1.01501918448, 1.086504014567, -1.015048220861, -1.086495985438, 8.410331871916e-06, 4.945594039749e-06, 2.810915201882e-06, 1.015004945207, 0.9315028109125, -1.014994950937, -0.9314971890821, -0, -0, -0, -0, -0.009446595869809, 0.5005536847917, 0.5145898279827, 0.5005798918132, 0.5145920068043, 0.5005409648071, 0.5145876491612
0.05, 0.00867408266248, 0, 0.002487622316954, 0.002487629725302, -0.07178560057548, 0, 0.002487585204184, 0.002487577796101, 0.01066685147554, 0.002639781109997, 0, -101.997143661, -94.08723806447, -102.9135905782, -95.40237516961, -14.32604745074, -3.606883091856, 178.3976752176, -3.619290511941, 19031.1041823, 19031.1041823, 10668.01409159, 5335.777288222, 5332.236803371, 19095.9276631, 19095.9276631, 10710.56843532, 5353.513975237, 5357.054460088, 0, 4.820569512439e-05, -0.06891050714299, -0, -0, -0, -0, -0.0707527580518, -0.06891050714299, 0.00139717330397, 0, 0, 0, 0, 0.002208160981701, 0.0006677254316271, 0.001397174314493, 0.002453219026767, 0.0006677249486867, -0.004962620747136, 0.0006677249486867, 0.3029925245011, 0.3030110570642, 0.3029893490454, 0.3030120425007, 0.9719630534092, -0.002656783795499, 0, 0.07781157047418, 0, -0.01067838280539, 69.95961393999, 70, 69.95944665006, 0.9713506868777, -4.028674630459, 0.9714891227875, -4.028666969508, 0.9719630534092, 0.9713496607306, -4.028670799963, 0.9713506859602, -4.028674083983, 0.9714890637654, -4.028667515942, 0.0002011942288884, -0.002452640964813, 0.0002019973122469, 0.07800685217981, 0.0002019973122469, 1.015056448951, 1.086521235376, -1.015008241215, -1.086478764758, 4.820569512439e-05, 3.501659009581e-05, 1.523878702337e-05, 1.015035015721, 0.931515238718, -1.014964889669, -0.9314847611439, -0, -0, -0, -0, -0.009465406681865, 0.5005409600228, 0.5145462799327, 0.5005805054776, 0.5145571356326, 0.50051435765, 0.5145354242328
0.075, 0.0120094038009, 0, 0.002829831978505, 0.002829847540466, -0.06752759075375, 0, 0.002829754020676, 0.002829738459744, 0.0197123002532, 0.002701603791482, 0, -100.9864637756, -126.4976059435, -102.2606405758, -128.5095741704, -24.26859469389, -5.275231454265, 195.55401465, -5.314730825388, 19033.39277897, 19033.39277897, 10703.47810371, 5355.317206726, 5348.160896987, 19122.01298571, 19122.01298571, 10789.49232979, 5391.168010027, 5398.324319766, 0, 0.000121619252703, -0.06913727804518, -0, -0, -0, -0, -0.07115043892694, -0.06913727804518, 0.00315849858982, 0, 0, 0, 0, 0.00288225830005, 0.001349659787119, 0.003158500889303, 0.003199215354716, 0.001349658804526, -0.004132327073289, 0.001349658804526, 0.454508898085, 0.4544704472764, 0.4545054693679, 0.4544741247073, 1.457720803524, -0.003436046408844, 0, 0.07610932491947, 0, -0.02895855559177, 69.93731768031, 70, 69.93731558495, 1.457101063263, -3.542926148049, 1.457248565868, -3.542904133932, 1.457720803524, 1.457105380973, -3.542915140868, 1.457101061871, -3.54292457766, 1.457248517558, -3.542905704076, 0.0005788205380822, -0.002853367968549, 0.0005804491358975, 0.07668321408977, 0.0005804491358975, 1.015121702586, 1.08654784719, -1.014942252107, -1.086452153301, 0.000121619252703, 9.375336730955e-05, 3.572698466878e-05, 1.015093751882, 0.9315357266784, -1.014906155605, -0.9314642727091, -0, -0, -0, -1.110223024625e-16, -0.009489382480547, 0.5005265572238, 0.5145170992365, 0.5005781698534, 0.5145390416411, 0.5004877405496, 0.5144951568319
0.1, 0.0143900716611, 0, 0.001945274405242, 0.001945290241743, -0.06504056737173, 0, 0.001945195073364, 0.001945179238413, 0.0291971349511, 0.002617279266325, 0, -100.6098654333, -141.8227071759, -102.0307455759, -144.1635123943, -33.79463282105, -4.858206927349, 199.4236650333, -4.915969466832, 19037.13103158, 19037.13103158, 10674.85700167, 5342.534004355, 5332.322997319, 19142.6442267, 19142.6442267, 10797.58671849, 5393.687855729, 5403.898862765, 0, 0.0002173635446446, -0.06887133025021, -0, -0, -0, -0, -0.07095568329394, -0.06887133025021, 0.004837211549613, 0, 0, 0, 0, 0.003359559260192, 0.0019257670512, 0.00483721504421, 0.003765014159238, 0.001925765659949, -0.00355659308077, 0.001925765659949, 0.6059741547592, 0.6058504965554, 0.6059730041919, 0.605859394903, 1.943312371262, -0.004395637234589, 0, 0.07504309670311, 0, -0.05586077038624, 69.9143189226, 70, 69.91454699356, 1.942685822169, -3.057343757798, 1.942851463128, -3.057298530565, 1.943312371262, 1.942699305341, -3.057321143821, 1.942685820331, -3.057340531381, 1.942851421796, -3.057301756261, 0.001190197623754, -0.003200917127418, 0.001192512455803, 0.07622907275499, 0.001192512455803, 1.015208550817, 1.08657612403, -1.014855316331, -1.086423876727, 0.0002173635446446, 0.0001756592714645, 5.883006632164e-05, 1.015175657128, 0.9315588293384, -1.01482425026, -0.9314411692058, -0, 1.110223024625e-16, -0, -0, -0.009511191774897, 0.5005141324973, 0.514522335495, 0.5005743550095, 0.5145536440963, 0.5004666886004, 0.5144910268938
0.125, 0.01602127692023, 0, 0.000292949007451, 0.00029295213551, -0.06350802621296, 0, 0.0002929333378901, 0.0002929302102325, 0.0383063872437, 0.00254954010656, 0, -100.9229366381, -137.7416587806, -102.3308530468, -139.9688887913, -41.55436688302, -2.529883063348, 198.6201425093, -2.572981819498, 19042.70500604, 19042.70500604, 10598.501257, 5305.032618278, 5293.468638722, 19153.73072411, 19153.73072411, 10737.49283063, 5362.964425536, 5374.528405091, 0, 0.0003231720690868, -0.06816316739032, -0, -0, -0, -0, -0.07019891535971, -0.06816316739032, 0.005770237216008, 0, 0, 0, 0, 0.00350788348774, 0.002180933809968, 0.005770241299373, 0.004023313686596, 0.00218093226661, -0.003306486761627, 0.00218093226661, 0.7573870336264, 0.7571708721562, 0.7573908725788, 0.7571877150576, 2.428735607721, -0.005588780820578, 0, 0.07394834271021, 0, -0.08988772223378, 69.89116121076, 70, 69.89151642866, 2.428102457578, -2.571930065245, 2.428294059178, -2.571852765707, 2.428735607721, 2.428128836487, -2.571891414779, 2.428102455402, -2.571924550775, 2.428294020879, -2.571858278783, 0.002035572594862, -0.003548425767112, 0.002038167189484, 0.07598003320962, 0.002038167189484, 1.015309026472, 1.086599505404, -1.014754911168, -1.086400494795, 0.0003231720690868, 0.0002738792376053, 7.991897061154e-05, 1.015273876505, 0.9315799177064, -1.014726030374, -0.9314200797652, -0, -0, -0, -0, -0.009528108201203, 0.5005056250954, 0.5145571439926, 0.5005686671271, 0.5145926010267, 0.5004553759788, 0.5145216869586
0.15, 0.01750650324215, 0, -0.001486927384755, -0.001486946658908, -0.06213730900245, 0, -0.001486830834986, -0.001486811563835, 0.04650704089024, 0.00251402591604, 0, -101.7184802132, -115.9124381882, -103.0018934277, -117.7225997599, -47.73270909406, 0.7440696111463, 196.201744946, 0.7389680273964, 19052.57807595, 19052.57807595, 10526.70512374, 5268.717891375, 5257.98723236, 19156.91386754, 19156.91386754, 10655.68072209, 5322.475031536, 5333.20569055, 0, 0.0004329397605483, -0.06737776746102, -0, -0, -0, -0, -0.06928126452536, -0.06737776746102, 0.005667981863486, 0, 0, 0, 0, 0.003302709952419, 0.002023771882148, 0.005667985782589, 0.003949767086504, 0.00202377048282, -0.003389489514516, 0.00202377048282, 0.908748370492, 0.9084542553911, 0.908759768954, 0.9084814327086, 2.913997732263, -0.007017335503468, 0, 0.07263405685411, 0, -0.1298541979297, 69.86839573472, 70, 69.86868486497, 2.913355243069, -2.086680875956, 2.913579692107, -2.086563289291, 2.913997732263, 2.913397945396, -2.08662208164, 2.913355240712, -2.08667248752, 2.913579652977, -2.086571675759, 0.003098043325179, -0.003914652258254, 0.003100423207276, 0.07572816371611, 0.003100423207276, 1.015419144581, 1.086615892413, -1.01464487403, -1.086384105761, 0.0004329397605483, 0.0003846411854345, 9.771703334966e-05, 1.015384637853, 0.9315977150885, -1.014615268433, -0.9314022810218, -1.110223024625e-16, -0, -1.110223024625e-16, -0, -0.009541538740909, 0.5004989555112, 0.5145963298204, 0.5005585926107, 0.5146292317587, 0.5004521278309, 0.514563427882
0.175, 0.01943566845369, 0, -0.002828395482122, -0.002828437694476, -0.06034548453892, 0, -0.002828184030806, -0.002828141826022, 0.05354081852212, 0.002460008236561, 0, -102.6931134875, -80.09720249614, -103.7898461954, -81.45590306483, -53.41347763039, 3.763676321758, 192.682129929, 3.787509709702, 19066.87612407, 19066.87612407, 10511.72123621, 5259.991352826, 5251.729883383, 19155.39907243, 19155.39907243, 10611.01876894, 5301.378649748, 5309.640119191, 0, 0.0005485125406762, -0.06694943379501, -0, -0, -0, -0, -0.06869167931058, -0.06694943379501, 0.004695161467318, 0, 0, 0, 0, 0.002832874184325, 0.001558089712698, 0.004695164672623, 0.003632387710419, 0.001558088649018, -0.003718906748409, 0.001558088649018, 1.060060491019, 1.059722452146, 1.06008173364, 1.059761774133, 3.399110756691, -0.008671857867388, 0, 0.07111668396972, 0, -0.1753137055229, 69.84649185026, 70, 69.84655456224, 3.398452771343, -1.601587667567, 3.398716070055, -1.601422572599, 3.399110756691, 3.398514776943, -1.601505119019, 3.398452768953, -1.601575890286, 3.398716027272, -1.601434347753, 0.004351260336765, -0.00431635906303, 0.004353080945565, 0.07546364675122, 0.004353080945565, 1.015540123984, 1.086628629537, -1.014523997115, -1.086371364995, 0.0005485125406762, 0.0005083951792824, 0.0001146380394562, 1.015508390934, 0.9316146350066, -1.014491514113, -0.9313853589277, -0, -0, -0, -0, -0.009553461495508, 0.5004924229408, 0.5146115457268, 0.5005440029491, 0.51463687673, 0.5004536733617, 0.5145862147235
0.2, 0.02207957431406, 0, -0.003516855347051, -0.00351691354146, -0.05791713199016, 0, -0.00351656384082, -0.003516505657983, 0.05934447400082, 0.002337610135569, 0, -103.5871561642, -35.88370523361, -104.4866315446, -36.92839659977, -59.79238439706, 5.817915340391, 187.7364851373, 5.846565262555, 19081.54861908, 19081.54861908, 10568.98513748, 5287.099031016, 5281.88610646, 19150.86807253, 19150.86807253, 10631.64112746, 5313.214101454, 5318.42702601, 0, 0.0006772372063229, -0.06711124623057, -0, -0, -0, -0, -0.06870664378191, -0.06711124623057, 0.003337596570691, 0, 0, 0, 0, 0.002263751473486, 0.0009831427940965, 0.003337598860237, 0.003236368433857, 0.0009831421196742, -0.004135026657757, 0.0009831421196742, 1.211326295412, 1.210992570331, 1.211359351236, 1.211045387051, 3.88408601441, -0.01054961227379, 0, 0.0694543405363, 0, -0.2264030991843, 69.82578952417, 70, 69.82559525822, 3.883404830964, -1.116640676042, 3.883712016403, -1.116421995004, 3.88408601441, 3.883488589684, -1.116531334634, 3.883404828605, -1.116625076644, 3.883711968989, -1.116437592625, 0.005764840403739, -0.004780988324084, 0.005765991970636, 0.07521438477477, 0.005765991970636, 1.015676726572, 1.086644035274, -1.01438756628, -1.086355954042, 0.0006772372063229, 0.0006484599049129, 0.0001352107028698, 1.015648454047, 0.9316352058488, -1.014351448321, -0.9313647844431, -0, -1.110223024625e-16, -0, -0, -0.009562386336218, 0.5004872311466, 0.5145916768975, 0.5005290312229, 0.5146076605684, 0.5004582965819, 0.5145756932266
0.225, 0.02533194053588, 0, -0.003718747195597, -0.003718813586308, -0.05497639145579, 0, -0.003718414635231, -0.003718348258764, 0.06400037714813, 0.002124018718037, 0, -104.2745675466, 9.894581386231, -105.0060885333, 9.033402290427, -67.55110029781, 6.68576394716, 181.1405022541, 6.685126858859, 19089.48305232, 19089.48305232, 10666.66440845, 5334.660461253, 5332.0039472, 19142.19438892, 19142.19438892, 10698.59399349, 5347.968739719, 5350.625253772, 0, 0.0008273761773305, -0.06776675347674, -0, -0, -0, -0, -0.06924590328405, -0.06776675347674, 0.002154022998476, 0, 0, 0, 0, 0.001767752086343, 0.0005010110267, 0.002154024505113, 0.002934737189206, 0.0005010106762667, -0.004466355998395, 0.0005010106762667, 1.362548515589, 1.362272711874, 1.362595065546, 1.362340186862, 4.368930781279, -0.01265687556323, 0, 0.06765860216767, 0, -0.2833923385417, 69.80643332749, 70, 69.80608795965, 4.368220097925, -0.6318311756889, 4.368575157995, -0.6315539601432, 4.368930781279, 4.368327520376, -0.6316925673421, 4.368220095534, -0.6318114013415, 4.368575106953, -0.6315737333426, 0.007308786546095, -0.005344626814657, 0.007309379118238, 0.07496215320055, 0.007309379118238, 1.015834110277, 1.086668423786, -1.014230437284, -1.086331558614, 0.0008273761773305, 0.0008084816316267, 0.0001639332166734, 1.015808473181, 0.9316639256011, -1.014191424593, -0.9313360591677, 1.110223024625e-16, -0, -0, -1.110223024625e-16, -0.0095623111494, 0.500487582361, 0.5145496789594, 0.5005209350043, 0.5145578242617, 0.5004671470622, 0.5145415336571
