Time,Alpha_L1i,Alpha_L1o,Alpha_L2i,Alpha_L2o,Alpha_R1i,Alpha_R1o,Alpha_R2i,Alpha_R2o,AVz,Ay,Bk_Stat,Fx_L1,Fx_L2,Fx_R1,Fx_R2,Fy_L1,Fy_L2,Fy_R1,Fy_R2,Fz_L1,Fz_L1i,Fz_L2,Fz_L2i,Fz_L2o,Fz_R1,Fz_R1i,Fz_R2,Fz_R2i,Fz_R2o,Lat_Targ,Lat_Veh,Pitch,PitchGL1,PitchGL2,PitchGR1,PitchGR2,Pitch_A1,Pitch_A2,Roll,RollGL1,RollGL2,RollGR1,RollGR2,Roll_A1,Roll_A2,Roll_E,Roll_L1,Roll_L2,Roll_R1,Roll_R2,Rot_L1,Rot_L2,Rot_R1,Rot_R2,Station,Steer_L1,Steer_L2,Steer_R1,Steer_R2,Steer_SW,Vx,VxTarget,Vxz_Fwd,Xctc_L1o,Xctc_L2o,Xctc_R1o,Xctc_R2o,Xo,X_A1,X_A2,X_L1,X_L2,X_R1,X_R2,Yaw,Yaw_L1,Yaw_L2,Yaw_R1,Yaw_R2,Yctc_L1o,Yctc_L2o,Yctc_R1o,Yctc_R2o,Yo,Y_A1,Y_A2,Y_L1,Y_L2,Y_R1,Y_R2,Zgnd_L1o,Zgnd_L2o,Zgnd_R1o,Zgnd_R2o,Zo,Z_A1,Z_A2,Z_L1,Z_L2,Z_R1,Z_R2
            0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -6.81661900671e-33,             0, 3.78685728608e-11,             0, 3.78685728608e-11,             0,             0,             0,             0,             0, 19050.9921875, 19050.9921875, 10575.9619141, 5287.98095703, 5287.98095703, 19050.9921875, 19050.9921875, 10575.9619141, 5287.98095703, 5287.98095703,             0,             0, -0.068251863122,             0,             0,             0,             0, -0.068251863122, -0.068251863122,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0,             0, -0.000189588521607, -0.000189588521607, -0.000189588521607, -0.000189588521607,             0,             0,             0,             0,             0,             0,            70,            70,            70, -0.00060752191348, -5.00062799454, -0.00060752191348, -5.00062799454,             0, -0.00060752191348, -5.00062799454, -0.00060752191348, -5.00062799454, -0.00060752191348, -5.00062799454,             0, 1.60265325181e-15,             0, -1.60265325181e-15,             0, 1.01499998569, 1.08650004864, -1.01499998569, -1.08650004864,             0, 4.23230009833e-22, 5.31699984742e-21, 1.01499998569, 0.931500017643, -1.01499998569, -0.931500017643,             0,             0,             0,             0, -0.00943942554295, 0.500560224056, 0.514604091644, 0.500560224056, 0.514604091644, 0.500560224056, 0.514604091644
        0.025, 0.00438977964222,             0, 0.00123656587675, 0.00123656704091, -0.0794634446502,             0, 0.00123656005599, 0.00123655889183, 0.00336800818332, 0.00201412150636,             0, -102.644798279, -51.1651115417, -102.68170929, -51.6700782776, -6.55631875992, -1.0554639101, 128.256286621, -1.0561401844, 19031.7050781, 19031.7050781, 10599.6669922, 5300.18847656, 5299.47802734, 19069.8515625, 19069.8515625, 10608.2080078, 5303.74853516, 5304.45898438,             0, 8.41033215693e-06, -0.0684946775436,             0,             0,             0,             0, -0.0703043118119, -0.0684946775436, 0.000264681206318,             0,             0,             0,             0, 0.00146291987039, 0.00013401756587, 0.000264681410044, 0.00162981031463, 0.000134017478558, -0.0060976925306, 0.000134017478558, 0.151427641511, 0.151459485292, 0.151426434517, 0.151459574699, 0.486050873995, -0.00180946767796,             0, 0.0820528864861,             0, -0.00171379046515, 69.9807891846,            70, 69.9806213379, 0.485443770885, -4.51457977295, 0.485585033894, -4.51457834244, 0.486050873995, 0.485441178083, -4.51457929611, 0.485443770885, -4.51457977295, 0.485584944487, -4.51457881927, 3.10080431518e-05, -0.00177651259582, 3.11682561005e-05, 0.0820766687393, 3.11682561005e-05, 1.01501917839, 1.08650398254, -1.01504826546, -1.08649599552, 8.41033215693e-06, 4.94559390063e-06, 2.81091524812e-06, 1.01500499249, 0.931502819061, -1.0149949789, -0.931497216225,             0,             0,             0,             0, -0.00944659579545, 0.500553667545, 0.514589846134, 0.500579893589, 0.514591991901, 0.500540971756, 0.514587640762
         0.05, 0.00867408234626,             0, 0.00248762220144, 0.00248762965202, -0.0717855989933,             0, 0.00248758518137, 0.00248757773079, 0.0106668518856, 0.00263978121802,             0, -101.997146606, -94.0872344971, -102.913589478, -95.4023742676, -14.3260478973, -3.60688304901, 178.397674561, -3.61929059029, 19031.1035156, 19031.1035156, 10668.0136719, 5335.77734375, 5332.23681641, 19095.9277344, 19095.9277344, 10710.5683594, 5353.51416016,  5357.0546875,             0, 4.82056966575e-05, -0.0689105093479,             0,             0,             0,             0, -0.0707527548075, -0.0689105093479, 0.00139717326965,             0,             0,             0,             0, 0.00220816093497, 0.000667725456879, 0.00139717431739, 0.00245321891271, 0.00066772493301, -0.00496262079105, 0.00066772493301, 0.302992522717, 0.303011059761, 0.30298936367, 0.303012043238, 0.971963047981, -0.00265678390861,             0, 0.0778115689754,             0, -0.0106783825904, 69.9596176147,            70, 69.9594497681, 0.971350669861, -4.02867460251, 0.971489131451, -4.02866697311, 0.971963047981, 0.971349656582, -4.02867078781, 0.971350669861, -4.02867412567, 0.971489071846, -4.02866744995, 0.000201194226975, -0.00245264102705, 0.000201997318072, 0.0780068486929, 0.000201997318072,  1.0150564909, 1.08652126789, -1.01500821114, -1.08647871017, 4.82056966575e-05, 3.50165901182e-05, 1.5238787455e-05, 1.01503503323, 0.931515216827, -1.01496493816, -0.931484758854,             0,             0,             0,             0, -0.00946540664881, 0.500540971756, 0.514546275139, 0.500580489635, 0.514557123184, 0.50051432848, 0.514535427094
        0.075, 0.0120094036683,             0, 0.00282983202487, 0.00282984762453, -0.0675275921822,             0, 0.00282975402661, 0.00282973842695, 0.0197123009712, 0.00270160380751,             0, -100.986465454, -126.49760437, -102.260643005, -128.509567261, -24.2685947418, -5.27523136139, 195.554016113, -5.31473064423, 19033.3925781, 19033.3925781, 10703.4785156, 5355.31738281, 5348.16113281, 19122.0136719, 19122.0136719, 10789.4921875, 5391.16796875, 5398.32421875,             0, 0.00012161925406, -0.069137275219,             0,             0,             0,             0, -0.0711504369974, -0.069137275219, 0.00315849855542,             0,             0,             0,             0, 0.00288225826807, 0.00134965975303, 0.00315850088373, 0.00319921527989, 0.00134965882171, -0.004132327158, 0.00134965882171, 0.454508900642, 0.454470455647, 0.454505473375, 0.454474121332, 1.45772075653, -0.00343604641967,             0, 0.0761093273759,             0, -0.028958555311, 69.9373168945,            70, 69.9373168945, 1.45710110664, -3.54292607307, 1.45724856853, -3.54290413857, 1.45772075653, 1.45710539818, -3.54291510582, 1.45710110664, -3.54292464256, 1.45724856853, -3.5429058075, 0.000578820530791, -0.00285336794332, 0.000580449122936, 0.0766832157969, 0.000580449122936, 1.01512169838, 1.08654785156, -1.0149422884, -1.0864521265, 0.00012161925406, 9.37533695833e-05, 3.57269855158e-05, 1.01509380341, 0.931535720825, -1.01490616798, -0.931464254856,             0,             0,             0, -1.11022302463e-16, -0.00948938261718, 0.500526547432, 0.514517128468, 0.500578165054, 0.514539062977, 0.500487744808, 0.514495134354
          0.1, 0.014390071854,             0, 0.00194527441636, 0.00194529024884, -0.0650405660272,             0, 0.00194519502111, 0.00194517918862, 0.0291971340775, 0.00261727930047,             0, -100.609863281, -141.82270813, -102.03074646, -144.163513184, -33.794631958, -4.85820674896, 199.423660278, -4.9159693718, 19037.1308594, 19037.1308594, 10674.8574219, 5342.53417969, 5332.32275391, 19142.6445312, 19142.6445312, 10797.5869141, 5393.68798828, 5403.89892578,             0, 0.000217363543925, -0.0688713267446,             0,             0,             0,             0, -0.0709556862712, -0.0688713267446, 0.00483721168712,             0,             0,             0,             0, 0.00335955922492, 0.00192576705012, 0.00483721494675, 0.00376501423307, 0.00192576565314, -0.00355659308843, 0.00192576565314, 0.605974137783, 0.60585051775, 0.605973005295, 0.605859398842, 1.94331240654, -0.00439563719556,             0, 0.0750430971384,             0, -0.0558607690036, 69.9143218994,            70, 69.9145507812, 1.94268584251, -3.05734372139, 1.94285142422, -3.05729842186, 1.94331240654, 1.94269931316, -3.05732107162, 1.94268584251, -3.05734062195, 1.94285142422, -3.05730175972, 0.00119019765407, -0.00320091703907, 0.00119251245633, 0.0762290731072, 0.00119251245633, 1.01520860195, 1.08657610416, -1.01485526562, -1.0864238739, 0.000217363543925, 0.00017565926828, 5.88300645177e-05, 1.01517570019, 0.931558847427, -1.0148242712, -0.931441187859,             0, 1.11022302463e-16,             0,             0, -0.00951119139791, 0.500514149666, 0.514522314072, 0.500574350357, 0.514553666115, 0.500466704369, 0.514491021633
        0.125, 0.0160212777555,             0, 0.000292949000141, 0.000292952143354, -0.0635080263019,             0, 0.00029293334228, 0.000292930199066, 0.038306389004, 0.00254954001866,             0, -100.922935486, -137.741653442, -102.330856323, -139.968887329, -41.5543670654, -2.52988314629, 198.620147705, -2.57298183441, 19042.7050781, 19042.7050781, 10598.5009766, 5305.03271484,    5293.46875, 19153.7304688, 19153.7304688, 10737.4931641, 5362.96435547, 5374.52832031,             0, 0.000323172076605, -0.06816316396,             0,             0,             0,             0, -0.0701989158988, -0.06816316396, 0.00577023718506,             0,             0,             0,             0, 0.0035078835208, 0.0021809337195, 0.00577024137601, 0.00402331352234, 0.00218093232252, -0.00330648687668, 0.00218093232252, 0.757387042046, 0.757170855999, 0.757390856743, 0.757187724113, 2.42873549461, -0.00558878062293,             0, 0.0739483460784,             0, -0.0898877233267, 69.8911590576,            70, 69.8915176392, 2.42810249329, -2.57193017006, 2.42829394341, -2.57185268402, 2.42873549461, 2.42812871933, -2.57189130783, 2.42810249329, -2.57192444801, 2.42829394341, -2.57185816765, 0.00203557265922, -0.00354842585512, 0.00203816709109, 0.0759800300002, 0.00203816709109, 1.01530897617, 1.08659946918, -1.0147548914, -1.08640050888, 0.000323172076605, 0.000273879239103, 7.9918972915e-05, 1.01527392864, 0.931579947472, -1.01472604275, -0.931420087814,             0,             0,             0,             0, -0.00952810794115, 0.500505626202, 0.514557123184, 0.500568687916, 0.514592587948, 0.500455379486, 0.514521658421
         0.15, 0.0175065025687,             0, -0.0014869273873, -0.00148694671225, -0.0621373094618,             0, -0.001486830879, -0.00148681155406, 0.0465070419014, 0.00251402589492,             0, -101.718482971, -115.912437439, -103.00189209, -117.722602844, -47.7327079773, 0.744069635868, 196.201751709, 0.738968014717,  19052.578125,  19052.578125, 10526.7050781, 5268.71777344, 5257.98730469, 19156.9140625, 19156.9140625, 10655.6806641, 5322.47509766, 5333.20556641,             0, 0.000432939763414, -0.0673777684569,             0,             0,             0,             0, -0.0692812651396, -0.0673777684569, 0.00566798169166,             0,             0,             0,             0, 0.00330270989798, 0.00202377187088, 0.00566798588261, 0.00394976697862, 0.0020237704739, -0.00338948960416, 0.0020237704739, 0.90874838829, 0.908454239368, 0.908759772778, 0.908481419086, 2.91399765015, -0.00701733538881,             0, 0.0726340562105,             0, -0.129854202271, 69.8683929443,            70, 69.8686828613, 2.91335535049, -2.08668088913, 2.91357970238, -2.08656334877, 2.91399765015, 2.91339802742, -2.08662199974, 2.91335535049, -2.08667254448, 2.91357970238, -2.08657169342, 0.00309804338031, -0.00391465239227, 0.00310042314231, 0.0757281631231, 0.00310042314231, 1.01541912556, 1.08661592007, -1.01464486122,  -1.086384058, 0.000432939763414, 0.000384641170967, 9.77170348051e-05, 1.01538467407, 0.931597709656, -1.01461529732, -0.931402266026, -1.11022302463e-16,             0, -1.11022302463e-16,             0, -0.009541538544, 0.500498950481, 0.51459634304, 0.500558614731, 0.514629244804, 0.500452101231, 0.514563441277
        0.175, 0.0194356683642,             0, -0.0028283954598, -0.00282843760215, -0.0603454858065,             0, -0.00282818404958, -0.00282814190723, 0.0535408183932, 0.00246000825427,             0, -102.693115234, -80.0972061157, -103.789848328, -81.4559020996, -53.4134788513, 3.76367640495, 192.682128906, 3.78750967979, 19066.8769531, 19066.8769531, 10511.7216797, 5259.99121094, 5251.72998047, 19155.3984375, 19155.3984375, 10611.0185547, 5301.37841797, 5309.64013672,             0, 0.000548512558453, -0.0669494345784,             0,             0,             0,             0, -0.0686916783452, -0.0669494345784, 0.00469516124576,             0,             0,             0,             0, 0.00283287419006, 0.00155808974523, 0.00469516450539, 0.00363238761202, 0.00155808869749, -0.0037189067807, 0.00155808869749,  1.0600605011, 1.05972242355, 1.06008172035, 1.05976176262, 3.39911079407, -0.00867185741663,             0, 0.0711166858673,             0, -0.175313711166, 69.8464889526,            70, 69.8465576172, 3.39845275879, -1.60158765316,  3.3987159729, -1.60142254829, 3.39911079407, 3.39851474762, -1.60150516033, 3.39845275879, -1.60157585144,  3.3987159729, -1.60143435001, 0.00435126014054, -0.00431635929272, 0.00435308087617, 0.0754636451602, 0.00435308087617, 1.01554012299, 1.08662867546,  -1.014523983, -1.08637142181, 0.000548512558453, 0.000508395198267, 0.000114638038212, 1.01550841331, 0.931614637375, -1.01449155807, -0.931385338306,             0,             0,             0,             0, -0.0095534613356, 0.50049239397, 0.514611542225, 0.500544011593, 0.514636874199, 0.500453650951, 0.514586210251
          0.2, 0.0220795739442,             0, -0.00351685541682, -0.00351691362448, -0.0579171329737,             0, -0.00351656391285, -0.00351650570519, 0.0593444742262, 0.00233761011623,             0, -103.587158203, -35.8837051392, -104.486633301, -36.9283981323, -59.7923851013, 5.81791543961, 187.736480713, 5.84656524658, 19081.5488281, 19081.5488281, 10568.9853516, 5287.09912109, 5281.88623047, 19150.8671875, 19150.8671875, 10631.6416016, 5313.21386719, 5318.42724609,             0, 0.000677237228956, -0.0671112462878,             0,             0,             0,             0, -0.0687066465616, -0.0671112462878, 0.00333759654313,             0,             0,             0,             0, 0.00226375157945, 0.000983142759651, 0.00333759887144, 0.00323636853136, 0.000983142177574, -0.00413502659649, 0.000983142177574, 1.21132624149, 1.21099257469, 1.21135938168, 1.21104538441, 3.88408613205, -0.0105496123433,             0, 0.0694543421268,             0, -0.226403102279, 69.8257904053,            70,  69.825592041, 3.88340473175, -1.11664068699,  3.8837120533, -1.11642193794, 3.88408613205, 3.88348865509, -1.11653137207, 3.88340473175, -1.11662507057,  3.8837120533, -1.11643755436, 0.0057648406364, -0.00478098820895, 0.0057659917511, 0.0752143859863, 0.0057659917511, 1.01567673683, 1.08664405346, -1.01438760757, -1.08635592461, 0.000677237228956, 0.000648459885269, 0.000135210706503, 1.01564848423, 0.931635200977, -1.01435148716, -0.931364774704,             0, -1.11022302463e-16,             0,             0, -0.00956238619983, 0.500487208366, 0.514591693878, 0.500529050827, 0.514607667923, 0.500458300114, 0.514575719833
        0.225, 0.0253319405019,             0, -0.00371874729171, -0.00371881364845, -0.0549763925374,             0, -0.00371841457672, -0.00371834821999, 0.0640003755689, 0.00212401873432,             0, -104.27456665, 9.89458179474, -105.006088257, 9.03340244293, -67.5511016846, 6.68576383591,  181.14050293, 6.68512678146, 19089.4824219, 19089.4824219, 10666.6640625, 5334.66064453, 5332.00390625, 19142.1953125, 19142.1953125,   10698.59375,    5347.96875, 5350.62548828,             0, 0.000827376148663, -0.0677667558193,             0,             0,             0,             0, -0.0692459046841, -0.0677667558193, 0.00215402292088,             0,             0,             0,             0, 0.00176775211003, 0.000501011032611, 0.00215402455069, 0.002934737131, 0.000501010683365, -0.00446635577828, 0.000501010683365,  1.3625484705, 1.36227273941, 1.36259508133, 1.36234021187, 4.36893081665, -0.012656875886,             0, 0.0676586031914,             0, -0.283392339945, 69.8064346313,            70, 69.8060913086, 4.36822032928, -0.631831169128, 4.36857509613, -0.631553947926, 4.36893081665, 4.36832761765, -0.631692588329, 4.36822032928, -0.631811380386, 4.36857509613, -0.631573736668, 0.00730878673494, -0.00534462695941, 0.0073093790561, 0.0749621540308, 0.0073093790561, 1.01583409309, 1.08666837215, -1.01423048973, -1.08633160591, 0.000827376148663, 0.000808481650893, 0.000163933218573,  1.0158084631, 0.931663930416, -1.01419138908, -0.931336045265, 1.11022302463e-16,             0,             0, -1.11022302463e-16, -0.0095623107627, 0.500487565994, 0.514549672604, 0.500520944595, 0.51455783844, 0.500467121601, 0.514541506767
